Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Lip	Tongue	440.004663809	73.2110191262	329.511777935	109.790989381	1.39047297786	0.985
Other	Gingiva	431.07569145	166.553387528	469.175043868	149.557858936	-0.446937331866	1.0
Lip	Cheek	440.004663809	73.2110191262	441.229487922	0.0	0.0118299328003	1.0
Tongue	Cheek	329.511777935	109.790989381	441.229487922	0.0	0.859985855457	1.0
Lip	Gingiva	440.004663809	73.2110191262	469.175043868	149.557858936	-0.320311723842	1.0
Lip	Other	440.004663809	73.2110191262	431.07569145	166.553387528	0.0733429513315	1.0
Tongue	Gingiva	329.511777935	109.790989381	469.175043868	149.557858936	-2.07453734081	0.48
Tongue	Other	329.511777935	109.790989381	431.07569145	166.553387528	-1.03950643379	1.0
Cheek	Other	441.229487922	0.0	431.07569145	166.553387528	0.0472226776296	1.0
Cheek	Gingiva	441.229487922	0.0	469.175043868	149.557858936	-0.179224520992	1.0
