Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Lip	Tongue	276.490333333	60.2450711253	208.204833333	67.096936024	1.31241329769	1.0
Other	Gingiva	263.69825	123.56768925	291.99925	100.045151671	-0.486800226383	1.0
Lip	Cheek	276.490333333	60.2450711253	265.675	0.0	-0.126941431024	1.0
Tongue	Cheek	208.204833333	67.096936024	265.675	0.0	0.723895288765	1.0
Lip	Gingiva	276.490333333	60.2450711253	291.99925	100.045151671	-0.252701601704	1.0
Lip	Other	276.490333333	60.2450711253	263.69825	123.56768925	0.139607686141	0.933
Tongue	Gingiva	208.204833333	67.096936024	291.99925	100.045151671	-1.87920045996	0.73
Tongue	Other	208.204833333	67.096936024	263.69825	123.56768925	-0.81928306841	1.0
Cheek	Other	265.675	0.0	263.69825	123.56768925	0.0123914590878	1.0
Cheek	Gingiva	265.675	0.0	291.99925	100.045151671	-0.252379382447	1.0
