Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Lip	Tongue	173.392393843	10.5066158114	145.479346839	28.9212910541	1.15687573526	1.0
Other	Gingiva	134.834248212	37.0862574476	125.839899718	59.5007893879	0.31069957003	1.0
Lip	Cheek	173.392393843	10.5066158114	130.599842154	0.0	-2.35149849205	1.0
Tongue	Cheek	145.479346839	28.9212910541	130.599842154	0.0	-0.434817265569	0.985
Lip	Gingiva	173.392393843	10.5066158114	125.839899718	59.5007893879	1.07836907728	1.0
Lip	Other	173.392393843	10.5066158114	134.834248212	37.0862574476	1.22318563365	0.88
Tongue	Gingiva	145.479346839	28.9212910541	125.839899718	59.5007893879	0.752984027769	0.918
Tongue	Other	145.479346839	28.9212910541	134.834248212	37.0862574476	0.483550762798	1.0
Cheek	Other	130.599842154	0.0	134.834248212	37.0862574476	-0.0932253159774	1.0
Cheek	Gingiva	130.599842154	0.0	125.839899718	59.5007893879	0.0762750727505	1.0
