Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Lip	Tongue	125.269	8.704	103.466833333	23.6232440717	1.10559292682	0.758
Other	Gingiva	95.0154	24.6762002634	85.0151428571	43.4574746634	0.47641960959	0.892857142857
Lip	Cheek	125.269	8.704	87.069	0.0	-2.53386722002	0.8275
Tongue	Cheek	103.466833333	23.6232440717	87.069	0.0	-0.586655184526	0.96
Lip	Gingiva	125.269	8.704	85.0151428571	43.4574746634	1.24932581397	1.0
Lip	Other	125.269	8.704	95.0154	24.6762002634	1.43022150144	1.0
Tongue	Gingiva	103.466833333	23.6232440717	85.0151428571	43.4574746634	0.961026214325	1.0
Tongue	Other	103.466833333	23.6232440717	95.0154	24.6762002634	0.52368033501	0.986666666667
Cheek	Other	87.069	0.0	95.0154	24.6762002634	-0.26293385373	0.8925
Cheek	Gingiva	87.069	0.0	85.0151428571	43.4574746634	0.0450618901475	0.98
