# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-4.60973476971	4.67618094136e-06	0.00030862794213	0.001	0.066
All within Group	OL vs. OL	4.54623641596	8.77886764172e-06	0.000579405264354	0.001	0.066
All within Group	OSCC vs. OSCC	-4.7194211602	4.08093622312e-06	0.000269341790726	0.001	0.066
All within Group	PVL vs. PVL	1.26410498275	0.207455482888	1	0.214	1.000
All within Group	CTRL vs. CTRL	-0.640353514802	0.522546145279	1	0.542	1.000
All within Group	OL vs. OSCC	-3.63684500364	0.000326907827906	0.0215759166418	0.001	0.066
All within Group	OL vs. PVL	1.32521917219	0.186148834915	1	0.170	1.000
All within Group	OL vs. CTRL	-1.66081078279	0.0978031797992	1	0.094	1.000
All within Group	OSCC vs. PVL	-4.31479911385	2.19823286356e-05	0.00145083368995	0.001	0.066
All within Group	OSCC vs. CTRL	-6.55392001328	2.46244620347e-10	1.62521449429e-08	0.001	0.066
All within Group	PVL vs. CTRL	-2.75910650774	0.00615456356842	0.406201195516	0.008	0.527
All between Group	OL vs. OL	8.02170981	4.66293670343e-15	3.07753822426e-13	0.001	0.066
All between Group	OSCC vs. OSCC	-3.28192391828	0.00108428028663	0.0715624989178	0.001	0.066
All between Group	PVL vs. PVL	4.11943350178	4.27121038562e-05	0.00281899885451	0.001	0.066
All between Group	CTRL vs. CTRL	1.97311923305	0.0488847604793	1	0.045	1.000
All between Group	OL vs. OSCC	-0.966856638009	0.333936785135	1	0.322	1.000
All between Group	OL vs. PVL	5.41339603888	8.40362295307e-08	5.54639114902e-06	0.001	0.066
All between Group	OL vs. CTRL	1.79019985345	0.0738316154392	1	0.074	1.000
All between Group	OSCC vs. PVL	-1.64668860879	0.100053636741	1	0.093	1.000
All between Group	OSCC vs. CTRL	-4.62798547067	4.36139953717e-06	0.000287852369453	0.001	0.066
All between Group	PVL vs. CTRL	0.294784756313	0.768241214753	1	0.777	1.000
OL vs. OL	OSCC vs. OSCC	-9.05667708202	3.13740600595e-14	2.07068796393e-12	0.001	0.066
OL vs. OL	PVL vs. PVL	-3.55013776517	0.000620711865078	0.0409669830951	0.001	0.066
OL vs. OL	CTRL vs. CTRL	-4.77858909886	6.2039329184e-06	0.000409459572614	0.001	0.066
OL vs. OL	OL vs. OSCC	-8.13067888978	1.85075524489e-13	1.22149846163e-11	0.001	0.066
OL vs. OL	OL vs. PVL	-4.53865986381	1.19077909039e-05	0.000785914199658	0.001	0.066
OL vs. OL	OL vs. CTRL	-7.04988654982	5.75872534559e-11	3.80075872809e-09	0.001	0.066
OL vs. OL	OSCC vs. PVL	-9.82224970983	1.01348649469e-17	6.68901086497e-16	0.001	0.066
OL vs. OL	OSCC vs. CTRL	-10.3866197156	1.85217001828e-19	1.22243221207e-17	0.001	0.066
OL vs. OL	PVL vs. CTRL	-7.40762864485	8.09018614993e-12	5.33952285896e-10	0.001	0.066
OSCC vs. OSCC	PVL vs. PVL	5.2165402504	1.19865455339e-06	7.91112005238e-05	0.001	0.066
OSCC vs. OSCC	CTRL vs. CTRL	3.37096857655	0.00107293375306	0.070813627702	0.005	0.330
OSCC vs. OSCC	OL vs. OSCC	2.15156918871	0.0331108295532	1	0.036	1.000
OSCC vs. OSCC	OL vs. PVL	6.31890339448	3.14247627919e-09	2.07403434427e-07	0.001	0.066
OSCC vs. OSCC	OL vs. CTRL	4.00445144545	9.66821314774e-05	0.00638102067751	0.001	0.066
OSCC vs. OSCC	OSCC vs. PVL	1.96229547002	0.0516694403985	1	0.058	1.000
OSCC vs. OSCC	OSCC vs. CTRL	0.16591178985	0.868445405848	1	0.858	1.000
OSCC vs. OSCC	PVL vs. CTRL	2.93248430042	0.00387962650336	0.256055349222	0.004	0.264
PVL vs. PVL	CTRL vs. CTRL	-1.60930490662	0.11076644368	1	0.103	1.000
PVL vs. PVL	OL vs. OSCC	-4.15440948062	5.58581630301e-05	0.00368663875998	0.001	0.066
PVL vs. PVL	OL vs. PVL	-0.381742489503	0.703219038631	1	0.720	1.000
PVL vs. PVL	OL vs. CTRL	-2.78714755665	0.00599169997664	0.395452198458	0.002	0.132
PVL vs. PVL	OSCC vs. PVL	-5.08279715855	1.14520144637e-06	7.55832954606e-05	0.001	0.066
PVL vs. PVL	OSCC vs. CTRL	-6.28721695567	3.21624786545e-09	2.1227235912e-07	0.001	0.066
PVL vs. PVL	PVL vs. CTRL	-3.46522765755	0.000687620772896	0.0453829710111	0.002	0.132
CTRL vs. CTRL	OL vs. OSCC	-2.128808377	0.0348712077354	1	0.041	1.000
CTRL vs. CTRL	OL vs. PVL	1.74342573347	0.0832680234499	1	0.083	1.000
CTRL vs. CTRL	OL vs. CTRL	-0.596216273823	0.551857825742	1	0.570	1.000
CTRL vs. CTRL	OSCC vs. PVL	-2.73585362654	0.00695782369544	0.459216363899	0.011	0.725
CTRL vs. CTRL	OSCC vs. CTRL	-4.25026440927	3.58373475874e-05	0.00236526494077	0.001	0.066
CTRL vs. CTRL	PVL vs. CTRL	-1.42339931244	0.15653169396	1	0.181	1.000
OL vs. OSCC	OL vs. PVL	5.08940039384	8.32287925245e-07	5.49310030662e-05	0.001	0.066
OL vs. OSCC	OL vs. CTRL	2.1652026528	0.0315103539467	1	0.021	1.000
OL vs. OSCC	OSCC vs. PVL	-0.525002445357	0.600168844506	1	0.597	1.000
OL vs. OSCC	OSCC vs. CTRL	-2.66535115741	0.0082945524341	0.547440460651	0.008	0.527
OL vs. OSCC	PVL vs. CTRL	0.967634108412	0.334350899416	1	0.343	1.000
OL vs. PVL	OL vs. CTRL	-3.18887051075	0.00164884461827	0.108823744805	0.002	0.132
OL vs. PVL	OSCC vs. PVL	-6.1232352459	4.84300602596e-09	3.19638397713e-07	0.001	0.066
OL vs. PVL	OSCC vs. CTRL	-8.00411863051	8.36395279115e-14	5.52020884216e-12	0.001	0.066
OL vs. PVL	PVL vs. CTRL	-4.18209072511	4.25683468958e-05	0.00280951089512	0.001	0.066
OL vs. CTRL	OSCC vs. PVL	-2.91334522076	0.00396652954491	0.261790949964	0.003	0.198
OL vs. CTRL	OSCC vs. CTRL	-5.07356223299	8.34712607724e-07	5.50910321098e-05	0.001	0.066
OL vs. CTRL	PVL vs. CTRL	-1.18001275688	0.239281171169	1	0.220	1.000
OSCC vs. PVL	OSCC vs. CTRL	-2.32412466323	0.0210840193025	1	0.012	0.791
OSCC vs. PVL	PVL vs. CTRL	1.57717082653	0.116275869005	1	0.113	1.000
OSCC vs. CTRL	PVL vs. CTRL	3.73051907234	0.000243722258866	0.0160856690852	0.001	0.066
