# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-4.68995134009	3.20143544471e-06	0.000211294739351	0.001	0.066
All within Group	OL vs. OL	3.41493037344	0.000752449397567	0.0496616602394	0.002	0.132
All within Group	OSCC vs. OSCC	-4.76047049976	3.39262499443e-06	0.000223913249632	0.001	0.066
All within Group	PVL vs. PVL	2.06667022581	0.0398703876268	1	0.037	1.000
All within Group	CTRL vs. CTRL	-0.440187306029	0.660192735773	1	0.653	1.000
All within Group	OL vs. OSCC	-4.06069598045	6.31152293419e-05	0.00416560513656	0.001	0.066
All within Group	OL vs. PVL	0.0172747902436	0.986229358302	1	0.990	1.000
All within Group	OL vs. CTRL	-1.17161744186	0.242286568674	1	0.225	1.000
All within Group	OSCC vs. PVL	-4.77372425992	2.88139194854e-06	0.000190171868603	0.001	0.066
All within Group	OSCC vs. CTRL	-6.23410965578	1.55029184333e-09	1.0231926166e-07	0.001	0.066
All within Group	PVL vs. CTRL	-1.88075775712	0.0609798855953	1	0.059	1.000
All between Group	OL vs. OL	6.76414166847	2.91566770727e-11	1.9243406868e-09	0.001	0.066
All between Group	OSCC vs. OSCC	-3.28738723891	0.00106378876605	0.0702100585592	0.001	0.066
All between Group	PVL vs. PVL	5.14913492209	3.44009568831e-07	2.27046315429e-05	0.001	0.066
All between Group	CTRL vs. CTRL	2.27722849623	0.0230809327181	1	0.017	1.000
All between Group	OL vs. OSCC	-1.48301728445	0.138502582112	1	0.138	1.000
All between Group	OL vs. PVL	3.82852174394	0.000140008973454	0.00924059224796	0.001	0.066
All between Group	OL vs. CTRL	2.44542990755	0.0147006197592	0.97024090411	0.021	1.000
All between Group	OSCC vs. PVL	-2.10632262125	0.0355180468915	1	0.036	1.000
All between Group	OSCC vs. CTRL	-4.11022113882	4.39622115561e-05	0.0029015059627	0.001	0.066
All between Group	PVL vs. CTRL	1.45656087805	0.145662940825	1	0.146	1.000
OL vs. OL	OSCC vs. OSCC	-7.65087180512	2.37932397388e-11	1.57035382276e-09	0.001	0.066
OL vs. OL	PVL vs. PVL	-1.30627754762	0.194862194786	1	0.212	1.000
OL vs. OL	CTRL vs. CTRL	-3.4494083524	0.000829909393777	0.0547740199893	0.002	0.132
OL vs. OL	OL vs. OSCC	-6.90786945487	1.49355046542e-10	9.85743307178e-09	0.001	0.066
OL vs. OL	OL vs. PVL	-4.0480669041	8.42540687916e-05	0.00556076854024	0.001	0.066
OL vs. OL	OL vs. CTRL	-4.90355122933	2.38033011252e-06	0.000157101787426	0.001	0.066
OL vs. OL	OSCC vs. PVL	-8.73994016762	5.7171733806e-15	3.77333443119e-13	0.001	0.066
OL vs. OL	OSCC vs. CTRL	-8.790657271	2.86764144688e-15	1.89264335494e-13	0.001	0.066
OL vs. OL	PVL vs. CTRL	-5.14431411453	8.11435228669e-07	5.35547250922e-05	0.001	0.066
OSCC vs. OSCC	PVL vs. PVL	5.94564842197	5.43932301422e-08	3.58995318939e-06	0.001	0.066
OSCC vs. OSCC	CTRL vs. CTRL	3.59950850311	0.000502216801984	0.033146308931	0.002	0.132
OSCC vs. OSCC	OL vs. OSCC	1.83885755079	0.0680105112682	1	0.066	1.000
OSCC vs. OSCC	OL vs. PVL	5.26397401725	5.06002265199e-07	3.33961495032e-05	0.001	0.066
OSCC vs. OSCC	OL vs. CTRL	4.30527571466	2.96632749643e-05	0.00195777614765	0.001	0.066
OSCC vs. OSCC	OSCC vs. PVL	1.75625447737	0.081185718193	1	0.076	1.000
OSCC vs. OSCC	OSCC vs. CTRL	0.474534046007	0.635795718123	1	0.646	1.000
OSCC vs. OSCC	PVL vs. CTRL	3.52927932824	0.000550618830257	0.0363408427969	0.003	0.198
PVL vs. PVL	CTRL vs. CTRL	-2.13622080954	0.035152248979	1	0.036	1.000
PVL vs. PVL	OL vs. OSCC	-5.24329533427	5.55940368166e-07	3.6692064299e-05	0.001	0.066
PVL vs. PVL	OL vs. PVL	-2.34638124246	0.0203295512818	1	0.022	1.000
PVL vs. PVL	OL vs. CTRL	-3.2216471195	0.00155731442351	0.102782751952	0.004	0.264
PVL vs. PVL	OSCC vs. PVL	-6.56613997218	8.89112241139e-10	5.86814079152e-08	0.001	0.066
PVL vs. PVL	OSCC vs. CTRL	-6.97915883527	8.44328404234e-11	5.57256746795e-09	0.001	0.066
PVL vs. PVL	PVL vs. CTRL	-3.57350763159	0.000471481700699	0.0311177922461	0.002	0.132
CTRL vs. CTRL	OL vs. OSCC	-2.65020262456	0.00888990641391	0.586733823318	0.014	0.923
CTRL vs. CTRL	OL vs. PVL	0.480578874128	0.631502285221	1	0.646	1.000
CTRL vs. CTRL	OL vs. CTRL	-0.436619183742	0.662965358401	1	0.653	1.000
CTRL vs. CTRL	OSCC vs. PVL	-3.38505511583	0.000904278115741	0.0596823556389	0.001	0.066
CTRL vs. CTRL	OSCC vs. CTRL	-4.26914932554	3.32150441481e-05	0.00219219291377	0.001	0.066
CTRL vs. CTRL	PVL vs. CTRL	-0.967872696365	0.334541853455	1	0.364	1.000
OL vs. OSCC	OL vs. PVL	4.1339828364	5.26257100877e-05	0.00347329686579	0.001	0.066
OL vs. OSCC	OL vs. CTRL	3.00205523376	0.00300992043036	0.198654748404	0.003	0.198
OL vs. OSCC	OSCC vs. PVL	-0.462729317717	0.6440665344	1	0.661	1.000
OL vs. OSCC	OSCC vs. CTRL	-1.88019875167	0.0614787167723	1	0.060	1.000
OL vs. OSCC	PVL vs. CTRL	2.17633729428	0.0306564556191	1	0.027	1.000
OL vs. PVL	OL vs. CTRL	-1.22001895226	0.223839147993	1	0.228	1.000
OL vs. PVL	OSCC vs. PVL	-5.17995350449	5.44257839713e-07	3.59210174211e-05	0.001	0.066
OL vs. PVL	OSCC vs. CTRL	-6.32247723059	1.54500920967e-09	1.01970607838e-07	0.001	0.066
OL vs. PVL	PVL vs. CTRL	-1.89895612696	0.0589542777627	1	0.054	1.000
OL vs. CTRL	OSCC vs. PVL	-3.85256367007	0.000155667086266	0.0102740276936	0.001	0.066
OL vs. CTRL	OSCC vs. CTRL	-5.14651113863	5.91324999647e-07	3.90274499767e-05	0.001	0.066
OL vs. CTRL	PVL vs. CTRL	-0.742580853745	0.458534879416	1	0.452	1.000
OSCC vs. PVL	OSCC vs. CTRL	-1.6057287418	0.109850635689	1	0.152	1.000
OSCC vs. PVL	PVL vs. CTRL	2.8775632778	0.00442562786976	0.292091439404	0.005	0.330
OSCC vs. CTRL	PVL vs. CTRL	4.19817101499	3.91981305916e-05	0.00258707661905	0.001	0.066
