# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Location	All between Location	-3.07311586661	0.00218862616854	0.262635140225	0.002	0.240
All within Location	Lip vs. Lip	-0.766808095601	0.44376451337	1	0.439	1.000
All within Location	Tongue vs. Tongue	-3.33511266234	0.000945924577646	0.113510949317	0.003	0.360
All within Location	Other vs. Other	-2.03889983804	0.042268839979	1	0.049	1.000
All within Location	Gingiva vs. Gingiva	1.17202323653	0.241659968626	1	0.236	1.000
All within Location	Lip vs. Tongue	-1.85763595258	0.0640876470521	1	0.068	1.000
All within Location	Lip vs. Cheek	0.813438207656	0.416575488004	1	0.444	1.000
All within Location	Lip vs. Other	-0.072873863844	0.941950641098	1	0.938	1.000
All within Location	Lip vs. Gingiva	0.176519948053	0.859977816068	1	0.866	1.000
All within Location	Tongue vs. Cheek	-0.868987927323	0.385498977646	1	0.401	1.000
All within Location	Tongue vs. Other	-3.04178983624	0.00252672879063	0.303207454876	0.002	0.240
All within Location	Tongue vs. Gingiva	-2.93510244787	0.0034856398863	0.418276786356	0.003	0.360
All within Location	Cheek vs. Other	0.230577003042	0.817790775236	1	0.808	1.000
All within Location	Cheek vs. Gingiva	0.870033102822	0.384897940737	1	0.397	1.000
All within Location	Other vs. Gingiva	-2.68083086917	0.00762306669378	0.914768003253	0.007	0.839
All between Location	Lip vs. Lip	-0.388730856205	0.697639419125	1	0.698	1.000
All between Location	Tongue vs. Tongue	-2.25335714357	0.0246453590228	1	0.024	1.000
All between Location	Other vs. Other	-1.37647887546	0.169276250794	1	0.176	1.000
All between Location	Gingiva vs. Gingiva	4.26158488825	2.27908775723e-05	0.00273490530867	0.001	0.120
All between Location	Lip vs. Tongue	-0.835649613473	0.403732190568	1	0.388	1.000
All between Location	Lip vs. Cheek	1.19904768987	0.231072833948	1	0.241	1.000
All between Location	Lip vs. Other	0.761874701347	0.44648287222	1	0.458	1.000
All between Location	Lip vs. Gingiva	1.94124298272	0.0527187435704	1	0.061	1.000
All between Location	Tongue vs. Cheek	-0.257847725824	0.796628644821	1	0.769	1.000
All between Location	Tongue vs. Other	-1.75011862521	0.0806647403524	1	0.074	1.000
All between Location	Tongue vs. Gingiva	-0.622226570454	0.533997561331	1	0.535	1.000
All between Location	Cheek vs. Other	0.721984105671	0.470637755791	1	0.487	1.000
All between Location	Cheek vs. Gingiva	1.9450048137	0.0523079261284	1	0.044	1.000
All between Location	Other vs. Gingiva	-0.611728269916	0.540941437463	1	0.554	1.000
Lip vs. Lip	Tongue vs. Tongue	-0.379752525159	0.706896028705	1	0.704	1.000
Lip vs. Lip	Other vs. Other	-0.286248478076	0.780006961852	1	0.789	1.000
Lip vs. Lip	Gingiva vs. Gingiva	0.96036581411	0.337708669914	1	0.356	1.000
Lip vs. Lip	Lip vs. Tongue	0.0817363150654	0.935507281616	1	0.929	1.000
Lip vs. Lip	Lip vs. Cheek	3.05010654704	0.038024271091	1	0.103	1.000
Lip vs. Lip	Lip vs. Other	0.569197128998	0.577126355694	1	0.584	1.000
Lip vs. Lip	Lip vs. Gingiva	0.828137527436	0.410291921052	1	0.431	1.000
Lip vs. Lip	Tongue vs. Cheek	0.204899735112	0.842209519869	1	0.838	1.000
Lip vs. Lip	Tongue vs. Other	-0.116620135489	0.907730464328	1	0.912	1.000
Lip vs. Lip	Tongue vs. Gingiva	0.281286080659	0.778792327678	1	0.791	1.000
Lip vs. Lip	Cheek vs. Other	0.65151502677	0.538852540627	1	0.508	1.000
Lip vs. Lip	Cheek vs. Gingiva	1.25825786529	0.21992350362	1	0.228	1.000
Lip vs. Lip	Other vs. Gingiva	0.306717397395	0.759585673975	1	0.749	1.000
Tongue vs. Tongue	Other vs. Other	-0.014594874166	0.988435974949	1	0.991	1.000
Tongue vs. Tongue	Gingiva vs. Gingiva	3.91009357644	0.000113974873204	0.0136769847845	0.001	0.120
Tongue vs. Tongue	Lip vs. Tongue	0.955700385724	0.34382172115	1	0.348	1.000
Tongue vs. Tongue	Lip vs. Cheek	2.04228984147	0.0503089850934	1	0.050	1.000
Tongue vs. Tongue	Lip vs. Other	1.88322119405	0.0667776173161	1	0.061	1.000
Tongue vs. Tongue	Lip vs. Gingiva	3.17251987525	0.00201859925864	0.242231911037	0.006	0.719
Tongue vs. Tongue	Tongue vs. Cheek	0.889027147339	0.380235510971	1	0.398	1.000
Tongue vs. Tongue	Tongue vs. Other	0.676604893865	0.501021124747	1	0.479	1.000
