# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-13.8008618874	1.67742482899e-38	1.10710038713e-36	0.001	0.066
All within Group	OL vs. OL	2.20159010598	0.0288098795933	1	0.033	1.000
All within Group	OSCC vs. OSCC	2.43175679546	0.0159245760109	1	0.016	1.000
All within Group	PVL vs. PVL	-0.481486806816	0.630684120254	1	0.644	1.000
All within Group	CTRL vs. CTRL	-4.17178127668	4.53838333717e-05	0.00299533300254	0.001	0.066
All within Group	OL vs. OSCC	-7.61742940942	5.33458868499e-13	3.52082853209e-11	0.001	0.066
All within Group	OL vs. PVL	-7.50146847692	1.00046807527e-12	6.60308929676e-11	0.001	0.066
All within Group	OL vs. CTRL	-13.9660468294	3.72245077566e-33	2.45681751193e-31	0.001	0.066
All within Group	OSCC vs. PVL	-7.60351589694	5.82179781856e-13	3.84238656025e-11	0.001	0.066
All within Group	OSCC vs. CTRL	-8.96415972039	8.85980673588e-17	5.84747244568e-15	0.001	0.066
All within Group	PVL vs. CTRL	-6.81859222644	6.8657156821e-11	4.53137235019e-09	0.001	0.066
All between Group	OL vs. OL	11.4750232723	0.0	0.0	0.001	0.066
All between Group	OSCC vs. OSCC	10.6920329822	0.0	0.0	0.001	0.066
All between Group	PVL vs. PVL	7.87783156596	1.62092561595e-14	1.06981090653e-12	0.001	0.066
All between Group	CTRL vs. CTRL	1.83925727901	0.0663927566679	1	0.058	1.000
All between Group	OL vs. OSCC	0.638453924566	0.523410623188	1	0.533	1.000
All between Group	OL vs. PVL	1.56239371774	0.11869035328	1	0.131	1.000
All between Group	OL vs. CTRL	-6.1890408195	1.09169408211e-09	7.20518094194e-08	0.001	0.066
All between Group	OSCC vs. PVL	2.04059373903	0.0417082514307	1	0.039	1.000
All between Group	OSCC vs. CTRL	-0.98766227624	0.323703352366	1	0.316	1.000
All between Group	PVL vs. CTRL	2.59664013067	0.00963408249522	0.635849444684	0.017	1.000
OL vs. OL	OSCC vs. OSCC	0.599357366077	0.55064966342	1	0.551	1.000
OL vs. OL	PVL vs. PVL	-2.96537533672	0.00389048663892	0.256772118169	0.004	0.264
OL vs. OL	CTRL vs. CTRL	-5.86310091178	1.00463790689e-07	6.63061018547e-06	0.001	0.066
OL vs. OL	OL vs. OSCC	-8.57475443692	2.22885402829e-14	1.47104365867e-12	0.001	0.066
OL vs. OL	OL vs. PVL	-8.82509196986	3.4959460885e-15	2.30732441841e-13	0.001	0.066
OL vs. OL	OL vs. CTRL	-19.4054589221	1.29039191314e-40	8.5165866267e-39	0.001	0.066
OL vs. OL	OSCC vs. PVL	-11.820989927	1.74054593768e-22	1.14876031887e-20	0.001	0.066
OL vs. OL	OSCC vs. CTRL	-11.1328488287	2.20880619859e-20	1.45781209107e-18	0.001	0.066
OL vs. OL	PVL vs. CTRL	-9.46775937151	1.42174179401e-16	9.3834958405e-15	0.001	0.066
OSCC vs. OSCC	PVL vs. PVL	-2.58730589761	0.0115066818087	0.759440999377	0.009	0.593
OSCC vs. OSCC	CTRL vs. CTRL	-4.75874733028	1.01460557275e-05	0.000669639678014	0.001	0.066
