# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Location	All between Location	0.456994913424	0.647816281414	1	0.642	1.000
All within Location	Lip vs. Lip	0.209101266553	0.834529228179	1	0.829	1.000
All within Location	Tongue vs. Tongue	0.079639176485	0.93658032308	1	0.935	1.000
All within Location	Other vs. Other	0.941433140473	0.347315234565	1	0.340	1.000
All within Location	Gingiva vs. Gingiva	-0.182656302861	0.855142638859	1	0.851	1.000
All within Location	Lip vs. Tongue	1.90596117538	0.0576647054647	1	0.058	1.000
All within Location	Lip vs. Cheek	0.0439264191075	0.964996012414	1	0.964	1.000
All within Location	Lip vs. Other	1.92338795568	0.0554525176567	1	0.065	1.000
All within Location	Lip vs. Gingiva	0.469095276474	0.639312234632	1	0.641	1.000
All within Location	Tongue vs. Cheek	-0.0595178389228	0.952583685104	1	0.964	1.000
All within Location	Tongue vs. Other	1.63102989718	0.103940372566	1	0.102	1.000
All within Location	Tongue vs. Gingiva	-0.719055850908	0.472509251299	1	0.493	1.000
All within Location	Cheek vs. Other	0.641279638149	0.521889046391	1	0.544	1.000
All within Location	Cheek vs. Gingiva	-0.114430312621	0.908977258847	1	0.917	1.000
All within Location	Other vs. Gingiva	-0.512803644257	0.608392229591	1	0.624	1.000
All between Location	Lip vs. Lip	0.157315857612	0.875068251064	1	0.858	1.000
All between Location	Tongue vs. Tongue	-0.0775780709776	0.938197639946	1	0.939	1.000
All between Location	Other vs. Other	0.881302488427	0.378628803125	1	0.365	1.000
All between Location	Gingiva vs. Gingiva	-0.646780489643	0.517996522282	1	0.505	1.000
All between Location	Lip vs. Tongue	1.85308175882	0.0645150273857	1	0.074	1.000
All between Location	Lip vs. Cheek	-0.016357124988	0.986956915631	1	0.987	1.000
All between Location	Lip vs. Other	1.90718506924	0.0571316454646	1	0.046	1.000
All between Location	Lip vs. Gingiva	0.23781450203	0.812122001915	1	0.798	1.000
All between Location	Tongue vs. Cheek	-0.157610228125	0.874835755604	1	0.882	1.000
All between Location	Tongue vs. Other	1.53605544456	0.125196242467	1	0.136	1.000
All between Location	Tongue vs. Gingiva	-1.19132081366	0.234006685762	1	0.228	1.000
All between Location	Cheek vs. Other	0.593031050045	0.55346436308	1	0.557	1.000
All between Location	Cheek vs. Gingiva	-0.286455704134	0.774658647565	1	0.771	1.000
All between Location	Other vs. Gingiva	-0.902589425627	0.367141844742	1	0.393	1.000
Lip vs. Lip	Tongue vs. Tongue	-0.16661531112	0.869194612287	1	0.860	1.000
Lip vs. Lip	Other vs. Other	0.233705351453	0.819506115011	1	0.837	1.000
Lip vs. Lip	Gingiva vs. Gingiva	-0.237698289307	0.81232489523	1	0.821	1.000
Lip vs. Lip	Lip vs. Tongue	0.539721844378	0.59481025349	1	0.622	1.000
Lip vs. Lip	Lip vs. Cheek	-0.0967841222801	0.927553216	1	0.945	1.000
Lip vs. Lip	Lip vs. Other	0.487842022908	0.632279190333	1	0.652	1.000
Lip vs. Lip	Lip vs. Gingiva	-0.0931832475515	0.926036070555	1	0.919	1.000
Lip vs. Lip	Tongue vs. Cheek	-0.192047003479	0.852490599224	1	0.688	1.000
Lip vs. Lip	Tongue vs. Other	0.282946610447	0.77883841836	1	0.766	1.000
Lip vs. Lip	Tongue vs. Gingiva	-0.386010683015	0.700018073508	1	0.729	1.000
Lip vs. Lip	Cheek vs. Other	0.212669420029	0.838626108306	1	0.847	1.000
Lip vs. Lip	Cheek vs. Gingiva	-0.219511991086	0.828187712935	1	0.813	1.000
Lip vs. Lip	Other vs. Gingiva	-0.310451013071	0.756800176717	1	0.731	1.000
Tongue vs. Tongue	Other vs. Other	0.725664994161	0.473860088966	1	0.491	1.000
Tongue vs. Tongue	Gingiva vs. Gingiva	-0.151875938759	0.879407276662	1	0.889	1.000
Tongue vs. Tongue	Lip vs. Tongue	1.44738469466	0.155581739651	1	0.154	1.000
