# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-14.1415381216	3.9776798689e-40	2.62526871347e-38	0.001	0.066
All within Group	OL vs. OL	2.27609703146	0.0238734582583	1	0.018	1.000
All within Group	OSCC vs. OSCC	2.47753407395	0.0140754031391	0.928976607182	0.012	0.791
All within Group	PVL vs. PVL	-0.843197887692	0.400100539246	1	0.412	1.000
All within Group	CTRL vs. CTRL	-4.10723614245	5.87779813759e-05	0.00387934677081	0.001	0.066
All within Group	OL vs. OSCC	-8.70764037277	4.29933149267e-16	2.83755878516e-14	0.001	0.066
All within Group	OL vs. PVL	-7.16755977976	7.8909756831e-12	5.20804395084e-10	0.001	0.066
All within Group	OL vs. CTRL	-13.2691568995	8.89885437571e-31	5.87324388797e-29	0.001	0.066
All within Group	OSCC vs. PVL	-7.90493824128	8.58491363073e-14	5.66604299628e-12	0.001	0.066
All within Group	OSCC vs. CTRL	-9.57999904241	1.2568864431e-18	8.29545052445e-17	0.001	0.066
All within Group	PVL vs. CTRL	-6.61203881588	2.27928070185e-10	1.50432526322e-08	0.001	0.066
All between Group	OL vs. OL	11.8475995648	0.0	0.0	0.001	0.066
All between Group	OSCC vs. OSCC	10.9883124299	0.0	0.0	0.001	0.066
All between Group	PVL vs. PVL	7.64391097619	8.70414851306e-14	5.74473801862e-12	0.001	0.066
All between Group	CTRL vs. CTRL	2.23837767906	0.0255783519753	1	0.029	1.000
All between Group	OL vs. OSCC	-0.522200775753	0.601714397366	1	0.615	1.000
All between Group	OL vs. PVL	2.03970925646	0.0417900611908	1	0.038	1.000
All between Group	OL vs. CTRL	-5.14010203788	3.67035129497e-07	2.42243185468e-05	0.001	0.066
All between Group	OSCC vs. PVL	1.78173406117	0.0752749777409	1	0.086	1.000
All between Group	OSCC vs. CTRL	-1.3043067974	0.192612980793	1	0.221	1.000
All between Group	PVL vs. CTRL	2.69676514994	0.00718919422583	0.474486818904	0.011	0.725
OL vs. OL	OSCC vs. OSCC	0.538059197716	0.592048872303	1	0.600	1.000
OL vs. OL	PVL vs. PVL	-3.28619864691	0.00145954813902	0.0963301771752	0.003	0.198
OL vs. OL	CTRL vs. CTRL	-6.10722189686	3.58201027047e-08	2.36412677851e-06	0.001	0.066
OL vs. OL	OL vs. OSCC	-9.67203101055	4.41321208104e-17	2.91271997349e-15	0.001	0.066
OL vs. OL	OL vs. PVL	-8.22227349179	1.10289592592e-13	7.27911311107e-12	0.001	0.066
