# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Location	All between Location	-0.051186529342	0.959191467478	1	0.949	1.000
All within Location	Lip vs. Lip	0.175622223727	0.86072435923	1	0.875	1.000
All within Location	Tongue vs. Tongue	-0.521582334671	0.602367675912	1	0.598	1.000
All within Location	Other vs. Other	0.493405398426	0.622122848029	1	0.637	1.000
All within Location	Gingiva vs. Gingiva	0.0268933181812	0.97855568327	1	0.984	1.000
All within Location	Lip vs. Tongue	1.46307596878	0.144552411312	1	0.139	1.000
All within Location	Lip vs. Cheek	0.0905440211352	0.927923056224	1	0.940	1.000
All within Location	Lip vs. Other	2.00285284172	0.046163861548	1	0.046	1.000
All within Location	Lip vs. Gingiva	0.154709648233	0.877145088851	1	0.867	1.000
All within Location	Tongue vs. Cheek	-0.25600786749	0.798139699871	1	0.809	1.000
All within Location	Tongue vs. Other	1.21603468296	0.224934084827	1	0.232	1.000
All within Location	Tongue vs. Gingiva	-1.24476011772	0.213919040134	1	0.226	1.000
All within Location	Cheek vs. Other	0.37021955028	0.711511325518	1	0.723	1.000
All within Location	Cheek vs. Gingiva	-0.105371909871	0.916154827415	1	0.917	1.000
All within Location	Other vs. Gingiva	-0.615153899196	0.538828201698	1	0.537	1.000
All between Location	Lip vs. Lip	0.197644387238	0.843414785013	1	0.835	1.000
All between Location	Tongue vs. Tongue	-0.551360911153	0.581655760574	1	0.578	1.000
All between Location	Other vs. Other	0.550826652011	0.582028314568	1	0.616	1.000
All between Location	Gingiva vs. Gingiva	0.0803664302187	0.935969932173	1	0.932	1.000
All between Location	Lip vs. Tongue	1.61391599792	0.107235875241	1	0.110	1.000
All between Location	Lip vs. Cheek	0.105321434849	0.916168859942	1	0.912	1.000
All between Location	Lip vs. Other	2.21217755878	0.0274547918938	1	0.022	1.000
All between Location	Lip vs. Gingiva	0.203587283275	0.838758531229	1	0.842	1.000
All between Location	Tongue vs. Cheek	-0.26726363869	0.789390557714	1	0.807	1.000
All between Location	Tongue vs. Other	1.36146150011	0.174018805404	1	0.170	1.000
All between Location	Tongue vs. Gingiva	-1.35631186993	0.175518755484	1	0.171	1.000
All between Location	Cheek vs. Other	0.410918042538	0.681332226699	1	0.674	1.000
All between Location	Cheek vs. Gingiva	-0.0967845184137	0.922939855328	1	0.919	1.000
All between Location	Other vs. Gingiva	-0.654549715997	0.513033329618	1	0.512	1.000
