# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-3.66012528652	0.000283213946996	0.0186921205017	0.001	0.066
All within Group	OL vs. OL	0.761882160056	0.447690037947	1	0.453	1.000
All within Group	OSCC vs. OSCC	2.73670992292	0.00703507765718	0.464315125374	0.012	0.791
All within Group	PVL vs. PVL	-1.54610513844	0.124403008428	1	0.133	1.000
All within Group	CTRL vs. CTRL	-3.36057503217	0.00105618442014	0.0697081717291	0.001	0.066
All within Group	OL vs. OSCC	0.22820595468	0.819788863162	1	0.818	1.000
All within Group	OL vs. PVL	-2.41324739258	0.0169854826066	1	0.013	0.857
All within Group	OL vs. CTRL	-2.59694853017	0.0104402136791	0.689054102823	0.016	1.000
All within Group	OSCC vs. PVL	-2.90232791749	0.00416429805282	0.274843671486	0.008	0.527
All within Group	OSCC vs. CTRL	-2.90179307716	0.00425465856492	0.280807465285	0.003	0.198
All within Group	PVL vs. CTRL	-3.59229804445	0.000440407471353	0.0290668931093	0.001	0.066
All between Group	OL vs. OL	2.54594728268	0.0113311980174	0.747859069148	0.008	0.527
All between Group	OSCC vs. OSCC	5.89559482714	8.46919179232e-09	5.58966658293e-07	0.001	0.066
All between Group	PVL vs. PVL	0.61277732547	0.540403104259	1	0.554	1.000
All between Group	CTRL vs. CTRL	-2.25429973083	0.024802362658	1	0.026	1.000
All between Group	OL vs. OSCC	3.15886783511	0.00170890429922	0.112787683748	0.002	0.132
All between Group	OL vs. PVL	0.0298124619565	0.976232067845	1	0.981	1.000
All between Group	OL vs. CTRL	-0.685821724232	0.493258536991	1	0.493	1.000
