# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-2.2803194273	0.0230740348949	1	0.027	1.000
All within Group	OL vs. OL	2.33076785902	0.0215082858244	1	0.022	1.000
All within Group	OSCC vs. OSCC	1.88059088185	0.0621660027531	1	0.064	1.000
All within Group	PVL vs. PVL	-2.56001656818	0.0115590595995	0.762897933569	0.009	0.593
All within Group	CTRL vs. CTRL	-1.77732408429	0.0781584516956	1	0.080	1.000
All within Group	OL vs. OSCC	1.58115295693	0.115894741395	1	0.109	1.000
All within Group	OL vs. PVL	-1.48049755532	0.140783479132	1	0.147	1.000
All within Group	OL vs. CTRL	-0.679921822608	0.497709685943	1	0.497	1.000
All within Group	OSCC vs. PVL	-2.86430298648	0.00467340748469	0.308444893989	0.005	0.330
All within Group	OSCC vs. CTRL	-1.98215115353	0.0492417682867	1	0.053	1.000
All within Group	PVL vs. CTRL	-3.03884889738	0.00279085799031	0.18419662736	0.004	0.264
All between Group	OL vs. OL	3.74420995534	0.000211870818264	0.0139834740054	0.002	0.132
All between Group	OSCC vs. OSCC	3.90533267251	0.000111992104392	0.00739147888984	0.001	0.066
All between Group	PVL vs. PVL	-1.48287328303	0.138966276479	1	0.138	1.000
All between Group	CTRL vs. CTRL	-1.07690429798	0.282273297857	1	0.266	1.000
All between Group	OL vs. OSCC	3.83485502413	0.000146744622433	0.00968514508058	0.001	0.066
All between Group	OL vs. PVL	0.019107634266	0.984765139656	1	0.985	1.000
All between Group	OL vs. CTRL	0.724625270804	0.469143662109	1	0.471	1.000
All between Group	OSCC vs. PVL	-1.56277041299	0.118874360518	1	0.135	1.000
All between Group	OSCC vs. CTRL	-0.733228466355	0.463865310288	1	0.477	1.000
All between Group	PVL vs. CTRL	-1.85323703957	0.0646132834035	1	0.063	1.000
OL vs. OL	OSCC vs. OSCC	-0.621644085479	0.537057593392	1	0.546	1.000
OL vs. OL	PVL vs. PVL	-6.74499891189	1.64773324318e-08	1.0875039405e-06	0.001	0.066
OL vs. OL	CTRL vs. CTRL	-5.37983066024	9.82752321977e-06	0.000648616532505	0.001	0.066
OL vs. OL	OL vs. OSCC	-1.28997007066	0.201495770399	1	0.187	1.000
OL vs. OL	OL vs. PVL	-4.20536064655	7.9081665492e-05	0.00521938992247	0.001	0.066
OL vs. OL	OL vs. CTRL	-3.74030472922	0.000481952114766	0.0318088395746	0.002	0.132
OL vs. OL	OSCC vs. PVL	-4.52498720825	1.76486557589e-05	0.00116481128009	0.001	0.066
OL vs. OL	OSCC vs. CTRL	-3.79645732563	0.000318381215849	0.021013160246	0.001	0.066
OL vs. OL	PVL vs. CTRL	-5.93466675485	1.15187994292e-07	7.60240762324e-06	0.001	0.066
OSCC vs. OSCC	PVL vs. PVL	-3.57831794988	0.000632956020923	0.0417750973809	0.001	0.066
OSCC vs. OSCC	CTRL vs. CTRL	-2.43989550394	0.0183561710219	1	0.025	1.000
OSCC vs. OSCC	OL vs. OSCC	-0.529358051467	0.59788996992	1	0.586	1.000
OSCC vs. OSCC	OL vs. PVL	-2.89010826602	0.00484910238756	0.320040757579	0.003	0.198
OSCC vs. OSCC	OL vs. CTRL	-2.09210406817	0.0400574767366	1	0.050	1.000
OSCC vs. OSCC	OSCC vs. PVL	-3.93771916061	0.000141411252754	0.00933314268179	0.002	0.132
OSCC vs. OSCC	OSCC vs. CTRL	-3.0652094687	0.00288807651218	0.190613049804	0.010	0.659
OSCC vs. OSCC	PVL vs. CTRL	-4.09210364949	9.44977053868e-05	0.00623684855553	0.002	0.132
PVL vs. PVL	CTRL vs. CTRL	-0.135362526466	0.892879797437	1	0.886	1.000
PVL vs. PVL	OL vs. OSCC	3.88128243088	0.000200356964323	0.0132235596453	0.001	0.066
PVL vs. PVL	OL vs. PVL	1.50777748524	0.135193270226	1	0.147	1.000
PVL vs. PVL	OL vs. CTRL	2.13615910551	0.0361649386169	1	0.031	1.000
PVL vs. PVL	OSCC vs. PVL	0.336360914302	0.737211702633	1	0.768	1.000
PVL vs. PVL	OSCC vs. CTRL	0.718398454537	0.474414734606	1	0.496	1.000
PVL vs. PVL	PVL vs. CTRL	-0.0723212439994	0.942510379977	1	0.947	1.000
CTRL vs. CTRL	OL vs. OSCC	2.67422492698	0.00940173220351	0.620514325432	0.014	0.923
CTRL vs. CTRL	OL vs. PVL	1.14221717448	0.257429314588	1	0.270	1.000
CTRL vs. CTRL	OL vs. CTRL	1.59645114084	0.116818101162	1	0.104	1.000
CTRL vs. CTRL	OSCC vs. PVL	0.332897912236	0.739952664743	1	0.700	1.000
CTRL vs. CTRL	OSCC vs. CTRL	0.578009629532	0.565195313963	1	0.532	1.000
CTRL vs. CTRL	PVL vs. CTRL	0.0783184691504	0.937808160199	1	0.928	1.000
OL vs. OSCC	OL vs. PVL	-2.90673031183	0.00444800061285	0.293568040448	0.004	0.264
OL vs. OSCC	OL vs. CTRL	-2.00407331514	0.0481372795975	1	0.042	1.000
OL vs. OSCC	OSCC vs. PVL	-4.14403966943	6.03565016394e-05	0.0039835291082	0.001	0.066
OL vs. OSCC	OSCC vs. CTRL	-3.17359539744	0.00197074282229	0.130069026271	0.001	0.066
OL vs. OSCC	PVL vs. CTRL	-4.41467757946	2.44367798558e-05	0.00161282747048	0.001	0.066
OL vs. PVL	OL vs. CTRL	0.667166643433	0.506411390075	1	0.496	1.000
OL vs. PVL	OSCC vs. PVL	-1.19046638218	0.235983628158	1	0.231	1.000
OL vs. PVL	OSCC vs. CTRL	-0.592935300607	0.554487381815	1	0.561	1.000
OL vs. PVL	PVL vs. CTRL	-1.68786539898	0.0943773687431	1	0.104	1.000
OL vs. CTRL	OSCC vs. PVL	-1.69351865311	0.0930638244307	1	0.088	1.000
OL vs. CTRL	OSCC vs. CTRL	-1.10000103073	0.274331732159	1	0.292	1.000
OL vs. CTRL	PVL vs. CTRL	-2.25991689719	0.0262948868608	1	0.020	1.000
OSCC vs. PVL	OSCC vs. CTRL	0.46936342313	0.639578438039	1	0.630	1.000
OSCC vs. PVL	PVL vs. CTRL	-0.450471594689	0.653103901516	1	0.680	1.000
OSCC vs. CTRL	PVL vs. CTRL	-0.860407489933	0.391506375051	1	0.408	1.000
