# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-2.23882667387	0.0255166554185	1	0.020	1.000
All within Group	OL vs. OL	-2.79411586935	0.00578450042471	0.381777028031	0.005	0.330
All within Group	OSCC vs. OSCC	2.27124935004	0.0242413522219	1	0.025	1.000
All within Group	PVL vs. PVL	-1.64918234218	0.100978912862	1	0.095	1.000
All within Group	CTRL vs. CTRL	0.94236626391	0.347130815785	1	0.357	1.000
All within Group	OL vs. OSCC	-1.41875982171	0.157340575246	1	0.164	1.000
All within Group	OL vs. PVL	-3.87309581495	0.000144918717715	0.00956463536921	0.001	0.066
All within Group	OL vs. CTRL	-4.20044569303	3.78383670952e-05	0.00249733222829	0.001	0.066
All within Group	OSCC vs. PVL	-0.595908784728	0.551857207953	1	0.546	1.000
All within Group	OSCC vs. CTRL	1.30463239334	0.19318510041	1	0.208	1.000
All within Group	PVL vs. CTRL	-0.98371876593	0.326315135666	1	0.319	1.000
All between Group	OL vs. OL	-1.85332738137	0.0644161971099	1	0.065	1.000
All between Group	OSCC vs. OSCC	3.72344767046	0.000217814691704	0.0143757696524	0.001	0.066
All between Group	PVL vs. PVL	-0.782789473746	0.434121333237	1	0.427	1.000
All between Group	CTRL vs. CTRL	2.49134724162	0.0130284202145	0.859875734159	0.018	1.000
All between Group	OL vs. OSCC	0.127574545287	0.898531555117	1	0.904	1.000
All between Group	OL vs. PVL	-2.91030423939	0.00376112800973	0.248234448642	0.008	0.527
All between Group	OL vs. CTRL	-3.03595303717	0.00250786008134	0.165518765369	0.001	0.066
All between Group	OSCC vs. PVL	0.959466921734	0.337745929695	1	0.367	1.000
All between Group	OSCC vs. CTRL	3.49984467455	0.000500710528561	0.033046894885	0.002	0.132
All between Group	PVL vs. CTRL	0.613662568502	0.539689301848	1	0.566	1.000
OL vs. OL	OSCC vs. OSCC	4.33989476421	4.63764672245e-05	0.00306084683682	0.001	0.066
OL vs. OL	PVL vs. PVL	0.588699553356	0.558881639587	1	0.563	1.000
OL vs. OL	CTRL vs. CTRL	3.29875276304	0.0014444509955	0.0953337657029	0.002	0.132
OL vs. OL	OL vs. OSCC	1.70082425306	0.0919079758751	1	0.082	1.000
OL vs. OL	OL vs. PVL	-0.218398731972	0.827661077819	1	0.829	1.000
OL vs. OL	OL vs. CTRL	0.0362999479487	0.971106678456	1	0.969	1.000
OL vs. OL	OSCC vs. PVL	2.09968225373	0.0383795011863	1	0.038	1.000
OL vs. OL	OSCC vs. CTRL	4.18630626447	5.06233839768e-05	0.00334114334247	0.001	0.066
OL vs. OL	PVL vs. CTRL	2.01463582901	0.0465490354291	1	0.031	1.000
OSCC vs. OSCC	PVL vs. PVL	-3.10960795069	0.00279595387812	0.184532955956	0.004	0.264
OSCC vs. OSCC	CTRL vs. CTRL	-1.33350143916	0.185458551737	1	0.150	1.000
OSCC vs. OSCC	OL vs. OSCC	-3.23334648597	0.00157095699677	0.103683161787	0.003	0.198
OSCC vs. OSCC	OL vs. PVL	-4.87897169735	4.08132336151e-06	0.00026936734186	0.001	0.066
OSCC vs. OSCC	OL vs. CTRL	-5.32198731266	4.32001944074e-07	2.85121283089e-05	0.001	0.066
OSCC vs. OSCC	OSCC vs. PVL	-2.5048651802	0.0136758648896	0.902607082711	0.006	0.396
OSCC vs. OSCC	OSCC vs. CTRL	-1.64341164239	0.102351228704	1	0.104	1.000
OSCC vs. OSCC	PVL vs. CTRL	-2.9579023159	0.00373156555649	0.246283326728	0.001	0.066
PVL vs. PVL	CTRL vs. CTRL	2.16713931529	0.0334426420192	1	0.028	1.000
PVL vs. PVL	OL vs. OSCC	0.759488352672	0.449365171757	1	0.446	1.000
PVL vs. PVL	OL vs. PVL	-0.81741450882	0.416280769842	1	0.417	1.000
PVL vs. PVL	OL vs. CTRL	-0.698931750783	0.486111144296	1	0.496	1.000
PVL vs. PVL	OSCC vs. PVL	1.14133267603	0.256793169455	1	0.246	1.000
PVL vs. PVL	OSCC vs. CTRL	2.7411267322	0.00699218521948	0.461484224485	0.008	0.527
PVL vs. PVL	PVL vs. CTRL	1.02049226269	0.310059896787	1	0.308	1.000
CTRL vs. CTRL	OL vs. OSCC	-2.02895907545	0.044458179094	1	0.041	1.000
CTRL vs. CTRL	OL vs. PVL	-3.94271380717	0.000142710716243	0.00941890727203	0.001	0.066
CTRL vs. CTRL	OL vs. CTRL	-4.24553458176	3.9345787284e-05	0.00259682196074	0.001	0.066
CTRL vs. CTRL	OSCC vs. PVL	-1.31804596491	0.189937666645	1	0.210	1.000
CTRL vs. CTRL	OSCC vs. CTRL	0.0296077136081	0.976416133706	1	0.987	1.000
CTRL vs. CTRL	PVL vs. CTRL	-1.70048621462	0.0914305767826	1	0.098	1.000
OL vs. OSCC	OL vs. PVL	-2.33152476807	0.0212172337516	1	0.016	1.000
OL vs. OSCC	OL vs. CTRL	-2.36564749948	0.0191527377717	1	0.023	1.000
OL vs. OSCC	OSCC vs. PVL	0.653360807639	0.514537450502	1	0.496	1.000
OL vs. OSCC	OSCC vs. CTRL	2.70190499586	0.00752506966361	0.496654597798	0.011	0.725
OL vs. OSCC	PVL vs. CTRL	0.382376935787	0.702705587108	1	0.716	1.000
OL vs. PVL	OL vs. CTRL	0.35330972617	0.724380219145	1	0.738	1.000
OL vs. PVL	OSCC vs. PVL	2.77249507752	0.00642156384781	0.423823213956	0.012	0.791
OL vs. PVL	OSCC vs. CTRL	5.21241694069	5.54444670398e-07	3.65933482462e-05	0.001	0.066
OL vs. PVL	PVL vs. CTRL	2.67792149139	0.00835675506212	0.5515458341	0.003	0.198
OL vs. CTRL	OSCC vs. PVL	2.90748574765	0.00417485096433	0.275540163646	0.002	0.132
OL vs. CTRL	OSCC vs. CTRL	5.65798628589	5.37197795136e-08	3.5455054479e-06	0.001	0.066
OL vs. CTRL	PVL vs. CTRL	2.76736725669	0.0063049125169	0.416124226116	0.010	0.659
OSCC vs. PVL	OSCC vs. CTRL	1.75905006021	0.0802872249613	1	0.092	1.000
OSCC vs. PVL	PVL vs. CTRL	-0.295753323875	0.767841589274	1	0.772	1.000
OSCC vs. CTRL	PVL vs. CTRL	-2.25787248071	0.0251218392187	1	0.023	1.000
