# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	-1.79234221889	0.0735593932785	1	0.089	1.000
All within Group	OL vs. OL	-4.05757169525	7.46072942493e-05	0.00492408142046	0.001	0.066
All within Group	OSCC vs. OSCC	1.8625620325	0.0640515562825	1	0.057	1.000
All within Group	PVL vs. PVL	-0.726461186229	0.468567044517	1	0.443	1.000
All within Group	CTRL vs. CTRL	1.58744401675	0.113976167889	1	0.125	1.000
All within Group	OL vs. OSCC	-2.71881093386	0.00705792641185	0.465823143182	0.009	0.593
All within Group	OL vs. PVL	-3.56277762794	0.000457298683483	0.0301817131099	0.003	0.198
All within Group	OL vs. CTRL	-4.12133737676	5.22412829494e-05	0.00344792467466	0.001	0.066
All within Group	OSCC vs. PVL	0.540609118631	0.589331487363	1	0.578	1.000
All within Group	OSCC vs. CTRL	1.85375746754	0.0649196870883	1	0.053	1.000
All within Group	PVL vs. CTRL	0.203877721357	0.838634157411	1	0.832	1.000
All between Group	OL vs. OL	-3.37230464166	0.000802387434452	0.0529575706738	0.001	0.066
All between Group	OSCC vs. OSCC	3.02835629376	0.00258003018521	0.170281992224	0.005	0.330
All between Group	PVL vs. PVL	-0.00514045834207	0.995900575976	1	0.992	1.000
All between Group	CTRL vs. CTRL	2.89909885575	0.00389629781101	0.257155655527	0.005	0.330
All between Group	OL vs. OSCC	-1.69191254315	0.0912199471486	1	0.096	1.000
All between Group	OL vs. PVL	-2.85093508999	0.0045273586144	0.29880566855	0.005	0.330
All between Group	OL vs. CTRL	-3.33440438987	0.000910647554697	0.06010273861	0.002	0.132
All between Group	OSCC vs. PVL	1.91754709793	0.0556870292655	1	0.059	1.000
All between Group	OSCC vs. CTRL	3.70828963739	0.000228385723881	0.0150734577762	0.001	0.066
All between Group	PVL vs. CTRL	1.60507323601	0.109045495119	1	0.114	1.000
OL vs. OL	OSCC vs. OSCC	5.57080205821	4.26367180006e-07	2.81402338804e-05	0.001	0.066
OL vs. OL	PVL vs. PVL	2.21566930285	0.0315943883749	1	0.028	1.000
OL vs. OL	CTRL vs. CTRL	4.91662537057	4.52956330266e-06	0.000298951177975	0.001	0.066
OL vs. OL	OL vs. OSCC	2.08347989123	0.039612475646	1	0.033	1.000
OL vs. OL	OL vs. PVL	0.965566154304	0.337100409455	1	0.322	1.000
OL vs. OL	OL vs. CTRL	1.19887523715	0.23306259981	1	0.244	1.000
OL vs. OL	OSCC vs. PVL	4.24589335811	5.03128620286e-05	0.00332064889389	0.001	0.066
OL vs. OL	OSCC vs. CTRL	6.01677669513	1.55605470731e-08	1.02699610682e-06	0.001	0.066
OL vs. OL	PVL vs. CTRL	4.10124711923	8.22590399789e-05	0.00542909663861	0.001	0.066
OSCC vs. OSCC	PVL vs. PVL	-2.06130121907	0.0433416915614	1	0.048	1.000
OSCC vs. OSCC	CTRL vs. CTRL	-0.321877601712	0.748230994635	1	0.751	1.000
OSCC vs. OSCC	OL vs. OSCC	-3.96114798631	0.000125492569855	0.00828250961044	0.001	0.066
OSCC vs. OSCC	OL vs. PVL	-4.4142591999	2.58722660562e-05	0.00170756955971	0.001	0.066
OSCC vs. OSCC	OL vs. CTRL	-4.92299336088	2.51693945307e-06	0.000166118003902	0.001	0.066
OSCC vs. OSCC	OSCC vs. PVL	-1.33814434928	0.183535892714	1	0.187	1.000
OSCC vs. OSCC	OSCC vs. CTRL	-0.648800801362	0.517439793133	1	0.520	1.000
OSCC vs. OSCC	PVL vs. CTRL	-1.66444965531	0.0986316866827	1	0.105	1.000
PVL vs. PVL	CTRL vs. CTRL	1.67453759847	0.0982465962266	1	0.089	1.000
PVL vs. PVL	OL vs. OSCC	-0.822433977135	0.412806448723	1	0.426	1.000
PVL vs. PVL	OL vs. PVL	-1.40858306251	0.163090721762	1	0.166	1.000
PVL vs. PVL	OL vs. CTRL	-1.52985214156	0.129004415446	1	0.124	1.000
PVL vs. PVL	OSCC vs. PVL	1.01723128406	0.311800756434	1	0.301	1.000
PVL vs. PVL	OSCC vs. CTRL	1.93869985765	0.0547217139684	1	0.049	1.000
PVL vs. PVL	PVL vs. CTRL	0.832699340814	0.407081116794	1	0.402	1.000
CTRL vs. CTRL	OL vs. OSCC	-3.66261763236	0.000359264476098	0.0237114554225	0.001	0.066
CTRL vs. CTRL	OL vs. PVL	-4.15249670328	6.55325492234e-05	0.00432514824874	0.001	0.066
CTRL vs. CTRL	OL vs. CTRL	-4.69574587224	6.23306526403e-06	0.000411382307426	0.001	0.066
CTRL vs. CTRL	OSCC vs. PVL	-0.998556719699	0.319969881135	1	0.329	1.000
CTRL vs. CTRL	OSCC vs. CTRL	-0.242703304439	0.808540376506	1	0.808	1.000
CTRL vs. CTRL	PVL vs. CTRL	-1.3220620574	0.188469005977	1	0.208	1.000
OL vs. OSCC	OL vs. PVL	-1.11368693013	0.267407203769	1	0.260	1.000
OL vs. OSCC	OL vs. CTRL	-1.18106361759	0.239266839089	1	0.232	1.000
OL vs. OSCC	OSCC vs. PVL	2.84075646446	0.00513523625025	0.338925592517	0.008	0.527
OL vs. OSCC	OSCC vs. CTRL	4.57353800425	8.68377544294e-06	0.000573129179234	0.001	0.066
OL vs. OSCC	PVL vs. CTRL	2.61234270661	0.00987702891067	0.651883908104	0.011	0.725
OL vs. PVL	OL vs. CTRL	0.110877239429	0.911870255067	1	0.911	1.000
OL vs. PVL	OSCC vs. PVL	3.51465686127	0.000615486213664	0.0406220901019	0.002	0.132
OL vs. PVL	OSCC vs. CTRL	5.25096986563	4.63709663778e-07	3.06048378094e-05	0.001	0.066
OL vs. PVL	PVL vs. CTRL	3.35374030804	0.00104286765864	0.06882926547	0.003	0.198
OL vs. CTRL	OSCC vs. PVL	3.98132223526	0.0001047880016	0.00691600810562	0.001	0.066
OL vs. CTRL	OSCC vs. CTRL	5.98650188674	1.00547752346e-08	6.63615165486e-07	0.001	0.066
OL vs. CTRL	PVL vs. CTRL	3.79758502672	0.000205847661218	0.0135859456404	0.001	0.066
OSCC vs. PVL	OSCC vs. CTRL	1.04694266167	0.296545576705	1	0.315	1.000
