# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	0.130608269453	0.896224850537	1	0.894	1.000
All within Group	OL vs. OL	0.185926986509	0.853239562326	1	0.851	1.000
All within Group	OSCC vs. OSCC	-0.0665286731062	0.947233267714	1	0.956	1.000
All within Group	PVL vs. PVL	0.277489359458	0.782444751536	1	0.777	1.000
All within Group	CTRL vs. CTRL	-0.202476472886	0.840107497735	1	0.833	1.000
All within Group	OL vs. OSCC	0.857736518014	0.394630253067	1	0.413	1.000
All within Group	OL vs. PVL	0.878610753777	0.382848765511	1	0.400	1.000
All within Group	OL vs. CTRL	-0.30309180401	0.762637265201	1	0.773	1.000
All within Group	OSCC vs. PVL	-0.115792748764	0.90820347625	1	0.909	1.000
All within Group	OSCC vs. CTRL	-0.243565294197	0.808290207904	1	0.797	1.000
All within Group	PVL vs. CTRL	-0.119674826356	0.905023149438	1	0.908	1.000
All between Group	OL vs. OL	0.155320466538	0.87678175364	1	0.856	1.000
All between Group	OSCC vs. OSCC	-0.111874380308	0.91107880386	1	0.940	1.000
All between Group	PVL vs. PVL	0.254632050456	0.799353751744	1	0.791	1.000
All between Group	CTRL vs. CTRL	-0.356760505954	0.721716151194	1	0.725	1.000
All between Group	OL vs. OSCC	0.91673683238	0.360723298324	1	0.366	1.000
All between Group	OL vs. PVL	0.959181774323	0.338905398816	1	0.346	1.000
All between Group	OL vs. CTRL	-0.484928913527	0.628340230289	1	0.625	1.000
All between Group	OSCC vs. PVL	-0.217122344597	0.82839670511	1	0.798	1.000
All between Group	OSCC vs. CTRL	-0.39208438969	0.695501828632	1	0.699	1.000
All between Group	PVL vs. CTRL	-0.275971244016	0.782884988882	1	0.795	1.000
OL vs. OL	OSCC vs. OSCC	-0.165866415814	0.872951035878	1	0.908	1.000
OL vs. OL	PVL vs. PVL	0.0321191043434	0.974830488565	1	0.981	1.000
OL vs. OL	CTRL vs. CTRL	-0.286442889345	0.776385334389	1	0.796	1.000
OL vs. OL	OL vs. OSCC	0.394789978757	0.69821087202	1	0.683	1.000
OL vs. OL	OL vs. PVL	0.330078938566	0.744204249245	1	0.733	1.000
OL vs. OL	OL vs. CTRL	-0.369003019996	0.714286939244	1	0.724	1.000
OL vs. OL	OSCC vs. PVL	-0.251048760883	0.804471423391	1	0.816	1.000
OL vs. OL	OSCC vs. CTRL	-0.340697690552	0.735874319276	1	0.765	1.000
OL vs. OL	PVL vs. CTRL	-0.248179276138	0.805150347815	1	0.814	1.000
OSCC vs. OSCC	PVL vs. PVL	0.188465892209	0.85394340042	1	0.811	1.000
OSCC vs. OSCC	CTRL vs. CTRL	-0.0141148812779	0.988834987947	1	0.990	1.000
OSCC vs. OSCC	OL vs. OSCC	0.493029641794	0.630214778963	1	0.608	1.000
OSCC vs. OSCC	OL vs. PVL	0.44176417976	0.663175458528	1	0.690	1.000
OSCC vs. OSCC	OL vs. CTRL	-0.0492682758081	0.961002494291	1	0.966	1.000
OSCC vs. OSCC	OSCC vs. PVL	0.0101736717438	0.992008498809	1	1.000	1.000
OSCC vs. OSCC	OSCC vs. CTRL	-0.0347466620641	0.972557701319	1	0.950	1.000
OSCC vs. OSCC	PVL vs. CTRL	0.024469939773	0.980596472471	1	1.000	1.000
PVL vs. PVL	CTRL vs. CTRL	-0.386550258639	0.70136462224	1	0.731	1.000
PVL vs. PVL	OL vs. OSCC	0.395075949685	0.696968846639	1	0.718	1.000
PVL vs. PVL	OL vs. PVL	0.336291111975	0.739158658874	1	0.750	1.000
PVL vs. PVL	OL vs. CTRL	-0.485682537647	0.62984218993	1	0.630	1.000
PVL vs. PVL	OSCC vs. PVL	-0.322819909937	0.749748057979	1	0.741	1.000
PVL vs. PVL	OSCC vs. CTRL	-0.440726423805	0.662374232699	1	0.685	1.000
PVL vs. PVL	PVL vs. CTRL	-0.350152335537	0.727756255293	1	0.747	1.000
CTRL vs. CTRL	OL vs. OSCC	0.947011944871	0.349616299308	1	0.345	1.000
CTRL vs. CTRL	OL vs. PVL	0.967555842434	0.33832602652	1	0.357	1.000
CTRL vs. CTRL	OL vs. CTRL	-0.0734156556539	0.94172796625	1	0.943	1.000
CTRL vs. CTRL	OSCC vs. PVL	0.0470313762959	0.962716567341	1	0.959	1.000
CTRL vs. CTRL	OSCC vs. CTRL	-0.0390319097505	0.969020381307	1	0.968	1.000
CTRL vs. CTRL	PVL vs. CTRL	0.0945499818555	0.924958749576	1	0.929	1.000
OL vs. OSCC	OL vs. PVL	-0.116571720967	0.90797633664	1	0.902	1.000
OL vs. OSCC	OL vs. CTRL	-1.12077764545	0.268750293757	1	0.268	1.000
OL vs. OSCC	OSCC vs. PVL	-0.846676523894	0.405207678366	1	0.409	1.000
OL vs. OSCC	OSCC vs. CTRL	-1.04586101616	0.303003998087	1	0.292	1.000
OL vs. OSCC	PVL vs. CTRL	-0.941565237677	0.35094239951	1	0.349	1.000
OL vs. PVL	OL vs. CTRL	-1.14320837858	0.258396385809	1	0.249	1.000
OL vs. PVL	OSCC vs. PVL	-0.814650027255	0.421113035313	1	0.431	1.000
OL vs. PVL	OSCC vs. CTRL	-1.04250382442	0.303141958803	1	0.305	1.000
OL vs. PVL	PVL vs. CTRL	-0.967837623043	0.337144074715	1	0.319	1.000
OL vs. CTRL	OSCC vs. PVL	0.11660001629	0.907695856179	1	0.901	1.000
OL vs. CTRL	OSCC vs. CTRL	0.0320091250869	0.974582792885	1	0.973	1.000
OL vs. CTRL	PVL vs. CTRL	0.184372105365	0.854254646459	1	0.855	1.000
OSCC vs. PVL	OSCC vs. CTRL	-0.0851195530257	0.9326252727	1	0.918	1.000
OSCC vs. PVL	PVL vs. CTRL	0.0285540417577	0.977327516803	1	0.979	1.000
OSCC vs. CTRL	PVL vs. CTRL	0.137247045511	0.891280259742	1	0.887	1.000
