# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 1000 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Group	All between Group	1.91561673779	0.0569313842964	1	0.059	1.000
All within Group	OL vs. OL	0.293872566453	0.770047970273	1	0.768	1.000
All within Group	OSCC vs. OSCC	0.417904226089	0.677880793223	1	0.683	1.000
All within Group	PVL vs. PVL	-0.486539466537	0.628517931532	1	0.602	1.000
All within Group	CTRL vs. CTRL	0.00102620867809	0.999184003297	1	0.999	1.000
All within Group	OL vs. OSCC	2.42620727479	0.0184444321079	1	0.022	1.000
All within Group	OL vs. PVL	1.37452610955	0.173998892682	1	0.170	1.000
All within Group	OL vs. CTRL	1.47345815474	0.14470397843	1	0.153	1.000
All within Group	OSCC vs. PVL	1.30819938894	0.195795319475	1	0.204	1.000
All within Group	OSCC vs. CTRL	1.15677818387	0.251352200092	1	0.264	1.000
All within Group	PVL vs. CTRL	1.34038537258	0.183691822822	1	0.179	1.000
All between Group	OL vs. OL	-0.481453009221	0.630910497618	1	0.591	1.000
All between Group	OSCC vs. OSCC	-0.198835028815	0.842672255703	1	0.820	1.000
All between Group	PVL vs. PVL	-1.3129650387	0.191186580076	1	0.204	1.000
All between Group	CTRL vs. CTRL	-1.53661051964	0.126258817629	1	0.143	1.000
All between Group	OL vs. OSCC	1.30219674708	0.194806056213	1	0.181	1.000
All between Group	OL vs. PVL	-0.0632828500544	0.949619771317	1	0.958	1.000
All between Group	OL vs. CTRL	-0.116900572566	0.907074444142	1	0.911	1.000
All between Group	OSCC vs. PVL	0.000249522864519	0.999801228358	1	1.000	1.000
All between Group	OSCC vs. CTRL	-0.275327301591	0.783409273617	1	0.787	1.000
All between Group	PVL vs. CTRL	-0.335246848718	0.737827113965	1	0.736	1.000
OL vs. OL	OSCC vs. OSCC	0.099817958613	0.923287431695	1	0.928	1.000
OL vs. OL	PVL vs. PVL	-0.509392389278	0.618411534477	1	0.609	1.000
OL vs. OL	CTRL vs. CTRL	-0.289172821529	0.774314362255	1	0.783	1.000
OL vs. OL	OL vs. OSCC	0.889233856399	0.387051888426	1	0.413	1.000
OL vs. OL	OL vs. PVL	0.407367040293	0.687349173731	1	0.694	1.000
OL vs. OL	OL vs. CTRL	0.40152710216	0.690405806447	1	0.685	1.000
