OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
115	10.1773271743274	-3.82838414330237	0.711766216713746	-5.37871010649842	7.50213948382995e-08	1.41790436244386e-05	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Parabacteroides; 7__Parabacteroides sp. YL27
117	10.0372239714155	-3.59384745035474	0.692981882899538	-5.18606263603539	2.14786596700853e-07	2.02973333882306e-05	1__Bacteria; 2__Firmicutes; 3__Erysipelotrichia; 4__Erysipelotrichales; 5__Erysipelotrichaceae; 6__Faecalibaculum; 7__Faecalibaculum rodentium
181	4.10818101656522	-3.16499697375101	0.649926474597275	-4.86977696317447	1.11724284208667e-06	7.03862990514604e-05	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Sutterellaceae; 6__Sutterella; 7__Sutterella_u
77	118.226464174353	-4.05682333434556	0.858911756611953	-4.72321318589005	2.32147273150637e-06	0.000109689586563676	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidaceae; 6__Bacteroides; 7__Bacteroides_u
109	14.4248705867758	-3.38750050013814	0.740704569884389	-4.57334899481837	4.79989645431967e-06	0.000154398701542718	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Micrococcaceae_u; 7__Micrococcaceae_u_u
122	11.2355857155695	-3.58867919084277	0.785448030941025	-4.56895816078788	4.9015460807212e-06	0.000154398701542718	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Rikenellaceae; 6__Alistipes; 7__Alistipes_u
128	9.10838883580748	-2.88564308966982	0.667976386887496	-4.31997769130099	1.56044974933715e-05	0.00042132143232103	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Veillonellaceae_u; 7__Veillonellaceae_u_u
124	11.7872037331091	-3.37936722413583	0.795076689467277	-4.25036637207928	2.13421132064513e-05	0.000504207424502413	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidaceae; 6__Bacteroidaceae_u; 7__Bacteroidaceae_u_u
86	37.6857205129696	-2.98745817352519	0.73956742057699	-4.03946697813494	5.35728094955874e-05	0.00112502899940734	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Veillonella; 7__Veillonella_u
101	5.68826463517336	-2.1230218520087	0.559935268446429	-3.79154872294281	0.000149710769236347	0.00282953353856695	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Ruminococcaceae; 6__Ruminococcaceae_u; 7__Ruminococcaceae_u_u
