OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
234	13.661671159	0.00107995535192	0.195471918698	0.195471918698	0.234892	0.0	2.642	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pelomonas; s__Pelomonas puraquae
45	9.57153638814	0.00834770862396	0.682090322157	1.0	2.038764	0.0	4.10164	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Atopobium; s__Atopobium rimae
55	7.91555678364	0.0191055121405	0.682090322157	1.0	0.440448	0.298281818182	2.26596	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides caccae
305	7.66933594707	0.021608511877	0.682090322157	1.0	0.722316	2.86287272727	3.6046	k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__CW040_u; g__CW040_u_u; s__CW040_u_u_u
162	7.45699583435	0.0240289021438	0.682090322157	1.0	0.23104	1.61242727273	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__ [Ruminococcus] torques
47	7.45059172909	0.0241059672706	0.682090322157	1.0	1.837292	0.527690909091	4.51232	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Coriobacteriaceae_u; s__Coriobacteriaceae_u_u
175	6.8505286263	0.0325406789229	0.682090322157	1.0	2.970732	1.49783636364	6.01772	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Schwartzia; Schwartzia_u
82	6.83627521415	0.0327734151133	0.682090322157	1.0	0.365648	0.476672727273	1.92306	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_u; s__Rikenellaceae_u_u
40	6.06568744211	0.0481784371019	0.682090322157	1.0	0.419212	1.24839090909	2.23732	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__Propionibacterium granulosum
141	5.80992009123	0.0547509780993	0.682090322157	1.0	8.210736	11.2525727273	7.80126	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus infantis
240	5.58824930528	0.0611683944974	0.682090322157	1.0	0.302772	1.50529090909	1.89342	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; Ralstonia_u
76	5.46488888889	0.0650600594318	0.682090322157	1.0	4.390504	2.5218	8.0523	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella nigrescens
94	5.39254505843	0.0674564867838	0.682090322157	1.0	2.093788	1.22556363636	4.81604	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__Streptophyta_u; g__Streptophyta_u_u; s__Streptophyta_u_u_u
84	5.2390296496	0.0728381935412	0.682090322157	1.0	0.374724	0.0	1.24886	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__[Barnesiellaceae]_u; s__[Barnesiellaceae]_u_u
163	5.13737434715	0.0766360892941	0.682090322157	1.0	1.864424	3.93687272727	4.84622	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Peptococcus; Peptococcus_u
157	5.11866837388	0.0773562280878	0.682090322157	1.0	4.529448	3.7314	7.14114	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Oribacterium; Oribacterium_u
241	5.08337343983	0.078733486389	0.682090322157	1.0	4.012412	1.12746363636	1.9862	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Eikenella; Eikenella_u
276	5.0528639292	0.0799437541584	0.682090322157	1.0	1.04288	2.71621818182	4.92582	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__Actinobacillus parahaemolyticus
257	4.98630727763	0.0826489103414	0.682090322157	1.0	0.546248	0.0	1.75002	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__Campylobacter rectus
288	4.74393530997	0.0932969693053	0.682090322157	1.0	0.555916	0.0	1.24886	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; Enhydrobacter_u
275	4.69023982153	0.0958357097083	0.682090322157	1.0	0.801928	2.69947272727	1.71866	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; Actinobacillus_u
34	4.67588757277	0.0965259122087	0.682090322157	1.0	6.15166	6.72259090909	1.612	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia mucilaginosa
65	4.53898617512	0.103364563588	0.682090322157	1.0	0.756904	0.0	1.83514	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; Parabacteroides_u
248	4.47268265477	0.106848714584	0.682090322157	1.0	1.005252	0.987536363636	3.59512	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria oralis
197	4.42330465504	0.109519536784	0.682090322157	1.0	3.214596	4.96382727273	1.80638	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichiaceae_u; s__Leptotrichiaceae_u_u
303	4.3531797235	0.113427675918	0.682090322157	1.0	0.613564	0.0	2.29676	k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae; g__Pyramidobacter; s__Pyramidobacter piscolens
298	4.3531797235	0.113427675918	0.682090322157	1.0	0.631996	0.0	0.0	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaetaceae_u; s__Spirochaetaceae_u_u
91	4.34730609441	0.113761281596	0.682090322157	1.0	4.660732	7.39494545455	3.21226	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__[Weeksellaceae]_u; s__[Weeksellaceae]_u_u
279	4.29724012074	0.116645009837	0.682090322157	1.0	2.81742	5.58135454545	5.86084	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; Haemophilus_u
219	4.2902425876	0.117053838278	0.682090322157	1.0	0.54944	0.0	1.4591	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__mitochondria_u; s__mitochondria_u_u
287	4.17622119816	0.123921051316	0.682090322157	1.0	0.632036	0.0	1.59176	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter rhizosphaerae
306	4.15174489998	0.12544693356	0.682090322157	1.0	1.578372	3.67096363636	2.09014	k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16; g__F16_u; s__F16_u_u
63	4.13052378085	0.12678508242	0.682090322157	1.0	6.508676	8.22448181818	9.02128	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_u
301	4.05197671294	0.131863450667	0.682090322157	1.0	3.146416	2.65326363636	6.57588	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema socranskii
59	4.03234099234	0.133164443637	0.682090322157	1.0	3.934956	2.10136363636	5.57946	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_u; g__Bacteroidales_u_u; s__Bacteroidales_u_u_u
71	3.94921761166	0.138815605478	0.682090322157	1.0	10.103128	9.2486	11.6121	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_u
192	3.9403446227	0.139432828286	0.682090322157	1.0	1.801696	1.58887272727	4.08406	k__Bacteria; p__Firmicutes; c__Firmicutes_u; o__Firmicutes_u_u; f__Firmicutes_u_u_u; g__Firmicutes_u_u_u_u; s__Firmicutes_u_u_u_u_u
68	3.88652770072	0.143235686176	0.682254189418	1.0	8.021224	9.96969090909	5.93056	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; Porphyromonas_u
173	3.59849056604	0.165423689188	0.734634151782	1.0	5.891276	5.00279090909	8.34068	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; Dialister_u
176	3.52289386007	0.171796106953	0.734634151782	1.0	6.664572	5.53466363636	8.54816	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; Selenomonas_u
285	3.45343000558	0.177867746367	0.734634151782	1.0	0.92626	0.712436363636	2.30996	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter johnsonii
8	3.29847665848	0.192196243143	0.734634151782	1.0	1.724464	3.47492727273	1.07812	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__Brevibacterium aureum
