OTU	Test-Statistic	P	FDR_P	Bonferroni_P	M_mean	F_mean	taxonomy
73	6.85234499205	0.00885250057981	0.937104685238	1.0	4.32306470588	1.433625	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella intermedia
280	5.00876479624	0.0252192952813	0.937104685238	1.0	1.35890588235	0.147533333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__Haemophilus influenzae
129	4.80157933481	0.0284336603911	0.937104685238	1.0	2.74808823529	0.9045125	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; Lactobacillus_u
293	4.6455029555	0.0311350121709	0.937104685238	1.0	0.176394117647	1.36997083333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas veronii
120	4.43605370076	0.0351874931068	0.937104685238	1.0	3.02317647059	1.3133375	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacilli_u; f__Bacilli_u_u; g__Bacilli_u_u_u; s__Bacilli_u_u_u_u
222	4.42478665411	0.0354205409585	0.937104685238	1.0	1.83377058824	0.424970833333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonadaceae_u; s__Sphingomonadaceae_u_u
168	3.87171389673	0.049106351315	0.937104685238	1.0	1.86860588235	0.611408333333	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; Oscillospira_u
3	3.75997178836	0.052493464219	0.937104685238	1.0	1.05027647059	2.47994166667	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomycetaceae_u; s__Actinomycetaceae_u_u
29	3.75326300733	0.0527045293307	0.937104685238	1.0	1.46413529412	0.245420833333	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; Micrococcus_u
82	3.29876631504	0.0693319362523	0.937104685238	1.0	1.04153529412	0.262241666667	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_u; s__Rikenellaceae_u_u
