OTU	Test-Statistic	P	FDR_P	Bonferroni_P	OL_mean	OSCC_mean	PVL_mean	CTRL_mean	taxonomy
8	20.1744369369	0.00015618280207	0.0223577652347	0.0282690871747	5.71398	1.00933125	0.34464	1.99818	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__Brevibacterium aureum
34	19.2128297362	0.000247047129666	0.0223577652347	0.0447155304695	10.19573	2.8369875	7.57906	2.53206	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia mucilaginosa
125	17.9288409704	0.0004549658529	0.0274496064583	0.082348819375	3.60725	0.77805	0.0	0.64556	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; Aerococcus_u
39	16.973357016	0.000715715432566	0.0298930829665	0.129544493294	7.5571	4.19970625	1.72656	6.77952	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__Propionibacterium acnes
141	16.6711386009	0.000825775772557	0.0298930829665	0.149465414833	12.29581	6.2383375	9.7171	9.6221	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus infantis
281	15.4653189265	0.00145924035516	0.0439977665075	0.264122504284	12.64443	6.149275	10.7494	9.58564	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__Haemophilus parainfluenzae
116	14.8673653311	0.00193357498496	0.0439977665075	0.349977072278	6.45244	1.690275	1.24867	1.6073	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; Staphylococcus_u
248	14.8552147239	0.00194465266332	0.0439977665075	0.35198213206	1.90989	0.0	1.07503	4.82412	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria oralis
25	14.2105167394	0.00263216680693	0.047281110411	0.476422192055	2.58133	0.24548125	0.0	0.8955	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__Kocuria palustris
7	13.8799191375	0.00307324452405	0.047281110411	0.556257258853	3.69826	0.48516875	0.34464	1.43046	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; Brevibacterium_u
171	13.800921659	0.00318904566477	0.047281110411	0.577217265323	2.01241	0.0	0.34464	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus bromii
292	13.777809592	0.00322373534931	0.047281110411	0.583496098225	2.75086	1.71515	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; Pseudomonas_u
