OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Tongue_mean	Other_mean	Lip_mean	Gingiva_mean	Cheek_mean	taxonomy
29	16.2680175616	0.00267982414347	0.485048169967	0.485048169967	0.0	2.7367	3.7356	0.245420833333	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; Micrococcus_u
17	14.3513477089	0.0062541457672	0.566000191932	1.0	0.0	2.72142	1.65993333333	0.1530875	4.3517	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Janibacter; Janibacter_u
283	10.3658418244	0.0346960263548	0.725723159988	1.0	0.0	0.50418	2.56286666667	0.567166666667	3.4207	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; Acinetobacter_u
124	10.1789785303	0.037518353035	0.725723159988	1.0	0.0	0.99824	3.632	0.7684375	4.3517	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcaceae_u; s__Aerococcaceae_u_u
125	9.94824797844	0.0413085195894	0.725723159988	1.0	0.0	2.94514	2.0159	1.10933333333	4.3517	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; Aerococcus_u
77	9.41211419753	0.0515847682394	0.725723159988	1.0	3.264375	1.42262	0.0	4.97884166667	7.8704	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella pallens
66	9.15207373272	0.0574087481021	0.725723159988	1.0	0.9584875	0.0	0.0	0.566120833333	5.316	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__Parabacteroides distasonis
280	9.09539170507	0.0587588691742	0.725723159988	1.0	2.0248375	1.82646	0.0	0.0546333333333	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__Haemophilus influenzae
164	9.06873751308	0.059404146855	0.725723159988	1.0	2.9067375	0.59974	0.849833333333	4.63937083333	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Filifactor; Filifactor_u
7	8.91105121294	0.0633616405895	0.725723159988	1.0	0.4426	0.0	3.7774	1.45168333333	5.6306	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; Brevibacterium_u
