OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
197	12.8331221167	0.00163426673008	0.461026062871	0.513159753245	1.0614875	4.71101	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonadaceae_u; 7__Pseudomonadaceae_u_u
161	11.6610930148	0.00293647173803	0.461026062871	0.922052125742	1.72832916667	5.25764	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. PAMC 25886
62	9.5245339299	0.00854621345447	0.611858625209	1.0	2.6987875	6.73955	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Oxalobacteraceae_u; 7__Oxalobacteraceae_u_u
67	9.13474600992	0.0103852057984	0.611858625209	1.0	2.78102083333	7.32184	2.282975	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. Ag1
404	8.9818330692	0.0112103644127	0.611858625209	1.0	0.109758333333	1.93046	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Propionibacteriales; 5__Propionibacteriaceae; 6__Propionibacteriaceae_u; 7__Propionibacteriaceae_u_u
100	8.8388197481	0.0120413360933	0.611858625209	1.0	5.767375	2.26903	7.77715	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Sediminibacterium; 7__Sediminibacterium sp. OR53
46	8.32209368752	0.0155912277944	0.611858625209	1.0	3.70450416667	7.82702	1.197525	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas fluorescens
56	7.96432054007	0.0186453168804	0.611858625209	1.0	3.49112916667	7.19024	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum_u
26	7.89951422819	0.019259379039	0.611858625209	1.0	2.37934583333	2.50125	9.614075	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella salivae
157	7.82666406656	0.019973836571	0.611858625209	1.0	4.75540833333	1.99191	6.1104	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Mesorhizobium; 7__Mesorhizobium sp. UASWS1009
29	7.52341430499	0.0232440253888	0.611858625209	1.0	9.69765	11.676	6.34595	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Propionibacteriales; 5__Propionibacteriaceae; 6__Propionibacterium; 7__Propionibacterium_u
215	7.48824342184	0.0236563970814	0.611858625209	1.0	3.66528333333	1.01168	4.913	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Chitinophagaceae_u; 7__Chitinophagaceae_u_u
166	7.10575850231	0.0286420531531	0.611858625209	1.0	1.85864583333	0.93831	5.144875	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella oris
97	7.02620325738	0.0298043289665	0.611858625209	1.0	6.814425	3.88973	7.33685	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobiaceae_u; 7__Bradyrhizobiaceae_u_u
30	6.94626136409	0.0310197654645	0.611858625209	1.0	4.48105	9.44283	2.304225	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum autotrophicum
73	6.93611658277	0.0311775095648	0.611858625209	1.0	7.9741	5.246	8.368725	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Mesorhizobium; 7__Mesorhizobium_u
282	6.7676967776	0.033916678691	0.612226086167	1.0	0.675841666667	0.0	3.3152	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellales; 5__Peptoniphilaceae; 6__Parvimonas; 7__Parvimonas_u
149	6.69934974172	0.0350957629013	0.612226086167	1.0	1.16249583333	3.27516	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum sp. RV1423
297	6.21834638501	0.0446378469934	0.687685952897	1.0	2.336775	0.45477	3.43925	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Sediminibacterium; 7__Sediminibacterium_u
55	6.03518622628	0.0489188188419	0.687685952897	1.0	2.89062083333	6.21437	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. TKP
388	5.99178364283	0.0499920232432	0.687685952897	1.0	1.68914583333	0.30811	3.06315	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium viridifuturi
637	5.91791744841	0.0518729030592	0.687685952897	1.0	1.1534125	2.96768	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas syringae group genomosp. 3
25	5.86950556468	0.0531438557823	0.687685952897	1.0	8.3054125	8.61353	3.925825	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinobacteria_u; 5__Actinobacteria_u_u; 6__Actinobacteria_u_u_u; 7__Actinobacteria_u_u_u_u
24	5.85733783882	0.0534681612309	0.687685952897	1.0	8.87929166667	13.02531	6.7303	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas_u
134	5.65266709742	0.059229618559	0.687685952897	1.0	1.69003333333	0.0	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Brevibacteriaceae; 6__Brevibacterium; 7__Brevibacterium_u
182	5.58645758231	0.0612232174593	0.687685952897	1.0	3.73617083333	1.23868	5.4421	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Aquabacterium; 7__Aquabacterium_u
96	5.43587345539	0.0660108122966	0.687685952897	1.0	5.723825	2.19905	6.8251	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Aquabacterium; 7__Aquabacterium sp. NJ1
33	5.41530147895	0.0666933027614	0.687685952897	1.0	6.43079583333	9.70125	4.31025	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Gammaproteobacteria_u; 5__Gammaproteobacteria_u_u; 6__Gammaproteobacteria_u_u_u; 7__Gammaproteobacteria_u_u_u_u
66	5.34154477764	0.0691987563168	0.687685952897	1.0	2.48470416667	4.28396	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Salmonella; 7__Salmonella enterica
43	5.32156234215	0.0698936015536	0.687685952897	1.0	5.06957916667	5.81834	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Acinetobacter; 7__Acinetobacter_u
71	5.31116803279	0.0702577949773	0.687685952897	1.0	2.85705833333	4.75829	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Elizabethkingia; 7__Elizabethkingia_u
128	5.26138565891	0.0720285414522	0.687685952897	1.0	3.19995416667	4.56183	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas syringae
230	5.16249900295	0.0756793834196	0.687685952897	1.0	0.473116666667	2.48772	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. KG01
645	5.1507085691	0.0761268474546	0.687685952897	1.0	1.52359583333	3.21033	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas fluorescens
286	5.13693586698	0.0766528928388	0.687685952897	1.0	2.5381125	0.95475	4.0096	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Hydrotalea; 7__Hydrotalea flava
