OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
3	9.1255858038	0.0104328802048	0.341585927383	0.511211130033	0.380952380952	0.285714285714	110.5	1__Viruses; 2__I:dsDNA; 3__I:dsDNA_n; 4__Papillomaviridae; 5__Papillomaviridae_n; 6__Papillomaviridae_n_n; 7__Human papillomavirus
2	8.54565826331	0.0139422827503	0.341585927383	0.683171854766	19.0476190476	0.0	110.0	1__Viruses; 2__I:dsDNA; 3__I:dsDNA_n; 4__Papillomaviridae; 5__Papillomaviridae_n; 6__Papillomaviridae_n_u; 7__Papillomaviridae_n_u_u
77	5.97003284072	0.050538673679	0.594769831651	1.0	2.80952380952	0.0	8.0	1__Bacteriophages; 2__II:ssDNA; 3__II:ssDNA_n; 4__Inoviridae; 5__Inoviridae_n; 6__Inoviridae_n_n; 7__Ralstonia phage 1 NP-2014
8	5.22084071509	0.0735036394586	0.594769831651	1.0	13.0476190476	26.8571428571	1.5	1__Viruses; 2__I:dsDNA; 3__Herpesvirales; 4__Herpesviridae; 5__Betaherpesvirinae; 6__Cytomegalovirus; 7__Cercopithecine herpesvirus 5
12	4.98259158341	0.0828026021043	0.594769831651	1.0	10.380952381	15.8571428571	0.0	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Retroviridae_n; 6__Retroviridae_n_n; 7__Human endogenous retrovirus
15	4.95477227809	0.0839624050673	0.594769831651	1.0	5.80952380952	8.28571428571	0.0	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Retroviridae_n; 6__Retroviridae_n_n; 7__Human endogenous retrovirus H
78	4.18024141568	0.123672206711	0.594769831651	1.0	3.38095238095	0.0	7.0	1__Bacteriophages; 2__II:ssDNA; 3__II:ssDNA_n; 4__Inoviridae; 5__Inoviridae_n; 6__Inoviridae_n_u; 7__Inoviridae_n_u_u
67	4.01390240474	0.134397802379	0.594769831651	1.0	30.4761904762	69.4285714286	7.5	1__Bacteriophages; 2__undetermined Bacteriophages; 3__undetermined Bacteriophages; 4__undetermined Bacteriophages; 5__undetermined Bacteriophages; 6__undetermined Bacteriophages; 7__undetermined Bacteriophages
68	3.97866957124	0.13678638746	0.594769831651	1.0	8.47619047619	25.1428571429	0.0	1__Bacteriophages; 2__I:dsDNA; 3__Caudovirales; 4__Caudovirales_u; 5__Caudovirales_u_u; 6__Caudovirales_u_u_u; 7__Caudovirales_u_u_u_u
120	3.92449954504	0.140541877725	0.594769831651	1.0	0.380952380952	0.0	23.0	1__Bacteriophages; 2__II:ssDNA; 3__II:ssDNA_n; 4__Microviridae; 5__Microviridae_n; 6__Pequenovirus; 7__Eel River basin pequenovirus
72	3.58683251665	0.16639076377	0.594769831651	1.0	5.09523809524	0.0	173.5	1__Bacteriophages; 2__II:ssDNA; 3__II:ssDNA_n; 4__Microviridae; 5__Microviridae_u; 6__Microviridae_u_u; 7__Microviridae_u_u_u
79	3.47748773747	0.175741015812	0.594769831651	1.0	6.71428571429	9.14285714286	1.0	1__Bacteriophages; 2__I:dsDNA; 3__Caudovirales; 4__Siphoviridae; 5__Siphoviridae_n; 6__Lambdavirus; 7__Escherichia virus Lambda
6	3.45486244812	0.177740399313	0.594769831651	1.0	18.8571428571	31.5714285714	2.5	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Retroviridae_n; 6__Retroviridae_n_n; 7__Human endogenous retrovirus K
14	3.40749920139	0.1819998164	0.594769831651	1.0	6.95238095238	11.0	1.5	1__Viruses; 2__I:dsDNA; 3__I:dsDNA_n; 4__Papillomaviridae; 5__Papillomaviridae_n; 6__Alphapapillomavirus; 7__Alphapapillomavirus 9
