OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Tongue_mean	Other_mean	Lip_mean	Gingiva_mean	taxonomy
35	11.6194253481	0.00880733262252	0.260904760651	0.431559298503	0.0	1.0	0.333333333333	0.294117647059	1__Viruses; 2__II:ssDNA; 3__II:ssDNA_n; 4__Anelloviridae; 5__Anelloviridae_n; 6__Anelloviridae_n_n; 7__Small anellovirus
29	10.4197479177	0.0153152931956	0.260904760651	0.750449366586	3.0	2.25	3.0	0.352941176471	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Orthoretrovirinae; 6__Lentivirus; 7__Human immunodeficiency virus 1
12	9.32265286905	0.0252948405921	0.260904760651	1.0	21.6666666667	15.5	18.3333333333	4.82352941176	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Retroviridae_n; 6__Retroviridae_n_n; 7__Human endogenous retrovirus
5	9.10626918325	0.0279108427142	0.260904760651	1.0	117.666666667	102.75	119.333333333	40.1764705882	1__Viruses; 2__undetermined Viruses; 3__undetermined Viruses; 4__undetermined Viruses; 5__undetermined Viruses; 6__undetermined Viruses; 7__undetermined Viruses
6	9.06016903617	0.0285015110421	0.260904760651	1.0	36.8333333333	29.0	39.6666666667	9.76470588235	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Retroviridae_n; 6__Retroviridae_n_n; 7__Human endogenous retrovirus K
23	8.53220678515	0.0362025564148	0.260904760651	1.0	3.83333333333	2.75	3.0	1.17647058824	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Retroviridae_u; 6__Retroviridae_u_u; 7__Retroviridae_u_u_u
15	8.38291945992	0.0387265874872	0.260904760651	1.0	10.0	5.5	11.3333333333	3.76470588235	1__Viruses; 2__VI-VII:RT; 3__VI-VII:RT_n; 4__Retroviridae; 5__Retroviridae_n; 6__Retroviridae_n_n; 7__Human endogenous retrovirus H
71	8.17152372399	0.0425966956165	0.260904760651	1.0	18.0	45.5	39.6666666667	5.0	1__Bacteriophages; 2__I:dsDNA; 3__Caudovirales; 4__Siphoviridae; 5__Siphoviridae_n; 6__T5virus; 7__Salmonella phage 5
14	7.7250564695	0.0520492145704	0.283379057106	1.0	14.8333333333	9.5	12.6666666667	3.58823529412	1__Viruses; 2__I:dsDNA; 3__I:dsDNA_n; 4__Papillomaviridae; 5__Papillomaviridae_n; 6__Alphapapillomavirus; 7__Alphapapillomavirus 9
25	7.09136570685	0.0690419545375	0.308152530557	1.0	2.16666666667	2.75	6.0	1.52941176471	1__Viruses; 2__I:dsDNA; 3__I:dsDNA_u; 4__I:dsDNA_u_u; 5__I:dsDNA_u_u_u; 6__I:dsDNA_u_u_u_u; 7__I:dsDNA_u_u_u_u_u
