OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
147	9.75973509934	0.00759802032124	0.760016908931	1.0	3.15508571429	4.98875	0.7433	1__Bacteria; 2__Cyanobacteria; 3__Cyanobacteria_n; 4__Cyanobacteria_n_u; 5__Cyanobacteria_n_u_u; 6__Cyanobacteria_n_u_u_u; 7__Cyanobacteria_n_u_u_u_u
222	9.28792569659	0.00961950136991	0.760016908931	1.0	2.41617142857	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum rubrisubalbicans
288	8.97654986523	0.0112400168814	0.760016908931	1.0	0.336757142857	2.54006	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas alcaliphila
90	8.29617058874	0.0157946296172	0.760016908931	1.0	3.90795238095	6.44837	2.26262	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus_u
476	8.13170483461	0.0171483654783	0.760016908931	1.0	0.163804761905	0.73153	1.9844	1__Bacteria; 2__Actinobacteria; 3__Thermoleophilia; 4__Solirubrobacterales; 5__Solirubrobacterales_u; 6__Solirubrobacterales_u_u; 7__Solirubrobacterales_u_u_u
331	8.10961832061	0.0173387887969	0.760016908931	1.0	0.180823809524	0.99023	2.27172	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Bifidobacteriales; 5__Bifidobacteriaceae; 6__Bifidobacterium; 7__Bifidobacterium animalis
254	7.76457725948	0.0206036171306	0.774107329335	1.0	0.945285714286	0.0	3.26642	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Lachnospiraceae; 6__Oribacterium; 7__Oribacterium_u
5	7.20177480019	0.0272994861287	0.819111585704	1.0	2.38942857143	4.43705	0.6033	1__Eukaryota; 2__Ascomycota; 3__Saccharomycetes; 4__Saccharomycetales; 5__Dipodascaceae; 6__Yarrowia; 7__Yarrowia lipolytica
3	7.14892882594	0.0280304344918	0.819111585704	1.0	3.0584047619	5.0843	0.80272	1__Eukaryota; 2__Ascomycota; 3__Saccharomycetes; 4__Saccharomycetales; 5__Debaryomycetaceae; 6__Candida; 7__Candida orthopsilosis
153	6.8205165907	0.0330326670896	0.868759144457	1.0	3.08673333333	0.51766	2.22692	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellia_u; 5__Tissierellia_u_u; 6__Tissierellia_u_u_u; 7__Tissierellia_u_u_u_u
