OTU	Test-Statistic	P	FDR_P	Bonferroni_P	M_mean	F_mean	taxonomy
91	8.29995588884	0.00396460414308	0.572957830586	1.0	1.46506666667	4.10046190476	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Vibrionales; 5__Vibrionaceae; 6__Vibrio; 7__Vibrio parahaemolyticus
208	6.71086956522	0.00958269851983	0.572957830586	1.0	0.82098	3.07104761905	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Microbacterium; 7__Microbacterium barkeri
188	6.48798271672	0.0108606152199	0.572957830586	1.0	1.74145333333	3.88082857143	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Aeromonadales; 5__Aeromonadaceae; 6__Aeromonas; 7__Aeromonas dhakensis
228	5.98633105518	0.0144171588561	0.572957830586	1.0	0.64928	2.11624761905	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Dermatophilaceae; 6__Mobilicoccus; 7__Mobilicoccus sp. SIT2
1017	5.82835595777	0.0157698544085	0.572957830586	1.0	2.74837333333	1.00363333333	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Bacillales prophage; 5__Paenibacillaceae prophage; 6__Paenibacillus prophage; 7__Paenibacillus larvae
179	5.50914927769	0.0189172461035	0.572957830586	1.0	0.724813333333	2.88015238095	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas putida
96	5.49673202614	0.0190520463762	0.572957830586	1.0	5.78222	3.51722857143	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Rothia; 7__Rothia mucilaginosa
372	5.47814313346	0.0192557032851	0.572957830586	1.0	0.386033333333	1.51744285714	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Vibrionales; 5__Vibrionaceae; 6__Vibrio; 7__Vibrio toranzoniae
1002	5.26425537392	0.0217677330877	0.572957830586	1.0	10.6417866667	9.4393	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcus prophage; 7__Streptococcus pneumoniae
198	5.16801242236	0.0230065243663	0.572957830586	1.0	1.04200666667	2.91077142857	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Candidatus Regiella; 7__Candidatus Regiella insecticola
239	5.0960668291	0.0239801594781	0.572957830586	1.0	2.5289	0.794904761905	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseria; 7__Neisseria_u
422	4.9465648855	0.0261425626123	0.572957830586	1.0	0.0	1.1946952381	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Aeromonadales; 5__Aeromonadaceae; 6__Aeromonas; 7__Aeromonas caviae
1003	4.69353592583	0.0302762824453	0.601940067059	1.0	8.13506666667	6.86837619048	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcaceae prophage_u; 7__Streptococcaceae prophage_u_u
13	4.55108359133	0.0328979203813	0.601940067059	1.0	0.43058	1.56888571429	1__Eukaryota; 2__Ascomycota; 3__Pneumocystidomycetes; 4__Pneumocystidales; 5__Pneumocystidaceae; 6__Pneumocystis; 7__Pneumocystis murina
409	4.47813411079	0.0343311825319	0.601940067059	1.0	1.58479333333	0.400019047619	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Brevibacteriaceae; 6__Brevibacterium; 7__Brevibacterium sp. VCM10
165	4.05107596578	0.0441432007005	0.691489119538	1.0	3.27245333333	4.18458095238	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Klebsiella; 7__Klebsiella pneumoniae
113	3.84820951363	0.0497991254868	0.691489119538	1.0	4.57554	2.66694761905	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Rothia; 7__Rothia_u
