OTU	Test-Statistic	P	FDR_P	Bonferroni_P	OL_mean	OSCC_mean	PVL_mean	CTRL_mean	taxonomy
331	16.9667175573	0.000717969088119	0.132139782686	0.188825870175	0.0	0.512425	0.0	3.37188	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Bifidobacteriales; 5__Bifidobacteriaceae; 6__Bifidobacterium; 7__Bifidobacterium animalis
325	16.2559637405	0.00100486526757	0.132139782686	0.264279565372	3.3625	0.1841875	0.0	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Pseudoclavibacter; 7__Pseudoclavibacter bifida
289	14.28113879	0.00254640946258	0.223235229553	0.669705688659	0.0	0.21499375	3.00684285714	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Hydrogenophilales; 5__Hydrogenophilaceae; 6__Tepidiphilus; 7__Tepidiphilus_u
333	12.3576512456	0.00625322474713	0.298994043086	1.0	2.9346125	0.0	0.553942857143	0.0	1__Bacteria; 2__Cyanobacteria; 3__Cyanobacteria_n; 4__Oscillatoriales; 5__Oscillatoriales_u; 6__Oscillatoriales_u_u; 7__Oscillatoriales_u_u_u
1021	12.2631044487	0.00653413112172	0.298994043086	1.0	0.2275375	0.3730375	3.2177	3.15536	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Lactobacillaceae prophage; 6__Lactobacillus prophage; 7__Lactobacillus casei
95	11.7789084781	0.00818020631874	0.298994043086	1.0	1.3849875	6.9004375	5.3792	6.17018	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Escherichia; 7__Escherichia coli
165	11.1537464351	0.0109229080047	0.298994043086	1.0	1.9885125	4.45968125	3.03004285714	5.69794	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Klebsiella; 7__Klebsiella pneumoniae
115	11.0114319092	0.0116642192574	0.298994043086	1.0	0.2275375	0.8871125	0.495142857143	5.1074	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Parabacteroides; 7__Parabacteroides sp. YL27
252	10.9409252669	0.0120496416908	0.298994043086	1.0	0.0	0.63600625	0.0	3.38154	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Selenomonadales; 5__Selenomonadaceae; 6__Megamonas; 7__Megamonas funiformis
111	10.7897491574	0.0129188428905	0.298994043086	1.0	2.822025	6.0761	3.31195714286	6.85434	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Enterobacter; 7__Enterobacter hormaechei
132	10.7667123067	0.0130566100741	0.298994043086	1.0	6.08205	4.11733125	5.74098571429	2.955	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Streptomycetales; 5__Streptomycetaceae; 6__Kitasatospora; 7__Kitasatospora sp. MY 5-36
215	10.4975922953	0.0147772388892	0.298994043086	1.0	0.0	2.136075	1.41987142857	4.18944	1__Bacteria; 2__Firmicutes; 3__Erysipelotrichia; 4__Erysipelotrichales; 5__Erysipelotrichaceae; 6__Erysipelotrichaceae_u; 7__Erysipelotrichaceae_u_u
103	10.4025138696	0.0154369955679	0.298994043086	1.0	1.4048375	3.08620625	1.33947142857	5.57564	1__Bacteria; 2__Deinococcus-Thermus; 3__Deinococci; 4__Deinococcales; 5__Deinococcaceae; 6__Deinococcus; 7__Deinococcus_u
213	10.0678212074	0.0179983410074	0.298994043086	1.0	0.0	0.8225125	1.99281428571	3.3187	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotellaceae_u; 7__Prevotellaceae_u_u
276	9.9954105474	0.0186051878046	0.298994043086	1.0	0.502125	0.4872125	0.989428571429	2.89672	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Eubacteriaceae; 6__Eubacterium; 7__[Eubacterium] eligens
118	9.81977317554	0.0201619230846	0.298994043086	1.0	2.4248875	3.06676875	6.47221428571	4.85328	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Leptotrichiaceae; 6__Leptotrichia; 7__Leptotrichia_u
137	9.80468543046	0.0203014700949	0.298994043086	1.0	2.09805	3.8118375	3.27004285714	6.59986	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Bifidobacteriales; 5__Bifidobacteriaceae; 6__Bifidobacterium; 7__Bifidobacterium_u
88	9.68665608966	0.0214263594892	0.298994043086	1.0	1.0300625	2.89921875	5.08512857143	5.7952	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Porphyromonadaceae_u; 7__Porphyromonadaceae_u_u
166	9.66894748554	0.0216003301089	0.298994043086	1.0	0.834525	0.54356875	1.56568571429	4.36864	1__Bacteria; 2__Proteobacteria; 3__Deltaproteobacteria; 4__Desulfovibrionales; 5__Desulfovibrionaceae; 6__Desulfovibrionaceae_u; 7__Desulfovibrionaceae_u_u
242	9.17821640768	0.0270128853824	0.339204593849	1.0	2.3175625	0.77055625	3.02311428571	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Delftia; 7__Delftia_u
122	9.10735009671	0.0278971381403	0.339204593849	1.0	0.528325	0.88590625	1.7283	5.29124	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Rikenellaceae; 6__Alistipes; 7__Alistipes_u
128	8.97905881507	0.029570610584	0.339204593849	1.0	0.581875	2.30094375	3.88111428571	5.4505	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Veillonellaceae_u; 7__Veillonellaceae_u_u
476	8.97208969466	0.0296642800704	0.339204593849	1.0	0.0	0.6722	0.0	1.9844	1__Bacteria; 2__Actinobacteria; 3__Thermoleophilia; 4__Solirubrobacterales; 5__Solirubrobacterales_u; 6__Solirubrobacterales_u_u; 7__Solirubrobacterales_u_u_u
142	8.78815280464	0.0322442292989	0.350303474986	1.0	1.9911875	0.72328125	0.708742857143	4.01728	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Lachnospiraceae; 6__Lachnospiraceae_n; 7__Lachnospiraceae bacterium A4
181	8.71708221024	0.0332988094093	0.350303474986	1.0	0.0	0.45039375	1.29722857143	3.70534	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Sutterellaceae; 6__Sutterella; 7__Sutterella_u
153	8.60393692104	0.0350476743628	0.354520706054	1.0	0.0	3.054775	2.69885714286	2.67284	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellia_u; 5__Tissierellia_u_u; 6__Tissierellia_u_u_u; 7__Tissierellia_u_u_u_u
222	8.39628482972	0.0384937872738	0.368469582223	1.0	0.0	2.59726875	1.3119	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum rubrisubalbicans
105	8.35435748462	0.039228700769	0.368469582223	1.0	1.100425	2.86651875	4.7685	5.21392	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridia_u; 5__Clostridia_u_u; 6__Clostridia_u_u_u; 7__Clostridia_u_u_u_u
83	7.94733535249	0.0471127570545	0.42726396915	1.0	3.5738625	5.19805625	6.37307142857	8.71532	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidales_u; 6__Bacteroidales_u_u; 7__Bacteroidales_u_u_u
1007	7.68276783415	0.0530437310473	0.450644136586	1.0	4.4073125	6.1673875	7.46924285714	7.63918	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Lactobacillales prophage_u; 6__Lactobacillales prophage_u_u; 7__Lactobacillales prophage_u_u_u
147	7.62720198675	0.0543786085211	0.450644136586	1.0	5.1741625	2.7219	3.77925714286	1.69246	1__Bacteria; 2__Cyanobacteria; 3__Cyanobacteria_n; 4__Cyanobacteria_n_u; 5__Cyanobacteria_n_u_u; 6__Cyanobacteria_n_u_u_u; 7__Cyanobacteria_n_u_u_u_u
85	7.53493168342	0.0566676681926	0.450644136586	1.0	6.51135	6.37850625	4.1885	7.59664	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcales_u; 6__Micrococcales_u_u; 7__Micrococcales_u_u_u
94	7.47584894614	0.0581822537776	0.450644136586	1.0	1.868575	4.7649375	5.36891428571	5.40602	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella_u
