#OTU Table 7																																								
#OTU ID	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V05	V06	V07	V08	V09	V10	taxonomy
1	19569	25814	6497	29841	1526	2481	3559	151	918	20427	3878	19334	1982	5480	12056	51678	4205	3278	1707	4184	10454	2544	881	8354	7433	3843	4019	3613	2658	4068	647	9967	5234	475	172	2866	22841	1169	3579	1__Bacteria;2__undetermined Bacteria;3__undetermined Bacteria;4__undetermined Bacteria;5__undetermined Bacteria;6__undetermined Bacteria;7__undetermined Bacteria
2	1899	3673	2575	1505	1194	1672	1898	371	77	8416	980	4203	265	551	4686	39159	1899	1340	855	1400	5811	627	5674	3097	578	1425	1237	158	138	4834	211	8737	4294	19	44	859	486	104	5635	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Propionibacteriales;5__Propionibacteriaceae;6__Propionibacterium;7__Propionibacterium_u
3	561	1231	443	3052	214	279	395	2	10	1612	171	835	74	114	1096	8234	402	278	200	220	1351	209	81	980	970	355	313	37	93	339	20	1230	408	44	6	103	205	11	500	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Actinobacteria_u;5__Actinobacteria_u_u;6__Actinobacteria_u_u_u;7__Actinobacteria_u_u_u_u
4	835	452	132	195	24	51	71	0	2	14051	33	145	20	39	1106	1041	245	52	90	115	273	68	77	348	494	85	177	12	40	333	7	282	207	10	1	29	31	9	218	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Corynebacteriales;5__Corynebacteriaceae;6__Corynebacterium;7__Corynebacterium_u
5	244	386	114	10048	26	63	61	3	3	251	264	419	16	32	316	862	250	66	82	174	155	70	9	814	3310	75	198	28	57	118	37	1854	195	70	6	352	230	8	96	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Streptococcaceae prophage;6__Streptococcus prophage;7__Streptococcus pneumoniae
6	9	17	5	4589	1	5	13	0	5	14	108	592	5	3	10	75	4	26	0	9	105	48	4	7	579	6	0	5	1	8	2	851	1227	11	26	158	36	7	74	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Pasteurellales;5__Pasteurellaceae;6__Pasteurellaceae_u;7__Pasteurellaceae_u_u
7	216	117	77	1095	12	37	51	6	9	357	17	165	9	13	58	241	151	43	8	249	99	17	114	62	334	74	28	13	17	198	7	150	1496	6	7	55	116	12	108	1__Bacteria;2__Proteobacteria;3__Proteobacteria_u;4__Proteobacteria_u_u;5__Proteobacteria_u_u_u;6__Proteobacteria_u_u_u_u;7__Proteobacteria_u_u_u_u_u
8	978	3270	22	43	1	4	1	5	0	31	3	1	0	0	14	2	10	1	3	12	5	0	111	46	9	1	4	0	0	7	1	6	9	0	0	3	729	0	7	1__Bacteria;2__Bacteroidetes;3__Bacteroidia;4__Bacteroidales;5__Bacteroidaceae;6__Bacteroides;7__Bacteroides_u
9	112	29	41	24	24	54	46	14	8	1596	34	177	17	6	55	191	75	13	6	628	265	13	408	230	78	80	36	3	1	122	18	306	206	0	0	54	6	4	357	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Pseudomonadales;5__Pseudomonadaceae;6__Pseudomonas;7__Pseudomonas_u
10	56	61	30	2298	1	16	16	1	0	37	42	90	0	3	45	202	33	16	11	53	54	23	0	244	812	22	29	6	11	54	28	551	49	22	1	161	79	0	20	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Streptococcaceae prophage;6__Streptococcaceae prophage_u;7__Streptococcaceae prophage_u_u
11	668	583	45	348	10	33	40	0	6	406	21	291	16	49	103	455	120	19	18	113	137	14	5	150	138	32	27	7	7	41	6	96	65	5	3	49	498	5	95	1__Bacteriophages;2__undetermined Bacteriophages;3__undetermined Bacteriophages;4__undetermined Bacteriophages;5__undetermined Bacteriophages;6__undetermined Bacteriophages;7__undetermined Bacteriophages
12	1323	1812	14	398	5	27	13	0	2	89	11	57	9	4	40	158	49	6	9	51	48	7	1	63	97	18	11	4	4	17	0	45	45	1	1	18	223	3	37	1__Bacteriophages;2__n_n_n_n_n_Dickeya phage phiDP10.3;3__n_n_n_n_Dickeya phage phiDP10.3;4__n_n_n_Dickeya phage phiDP10.3;5__n_n_Dickeya phage phiDP10.3;6__n_Dickeya phage phiDP10.3;7__Dickeya phage phiDP10.3
13	328	345	38	487	2	17	17	6	0	128	0	21	1	1	34	52	20	12	15	23	88	17	15	93	56	40	26	7	3	16	29	121	16	3	1	19	2423	1	11	1__Bacteria;2__Firmicutes;3__Firmicutes_u;4__Firmicutes_u_u;5__Firmicutes_u_u_u;6__Firmicutes_u_u_u_u;7__Firmicutes_u_u_u_u_u
14	92	136	44	48	7	47	44	12	0	378	55	127	18	75	221	894	75	12	33	97	523	29	43	354	46	31	64	12	8	42	2	253	54	3	0	15	46	3	92	1__Eukaryota;2__Basidiomycota;3__Malasseziomycetes;4__Malasseziales;5__Malasseziaceae;6__Malassezia;7__Malassezia globosa
15	236	483	39	550	10	25	18	0	1	198	33	284	16	83	63	238	64	21	13	90	84	11	1	75	131	24	20	7	4	32	12	99	39	2	0	42	424	1	40	1__Bacteriophages;2__I:dsDNA;3__Caudovirales;4__Myoviridae;5__Myoviridae_n;6__Myoviridae_n_n;7__Listeria phage WIL-3
16	246	307	11	469	7	6	6	4	0	659	5	5	0	3	21	30	7	2	5	8	27	1	32	114	83	8	9	2	2	20	7	47	10	3	0	16	1293	0	13	1__Bacteria;2__Firmicutes;3__Clostridia;4__Clostridiales;5__Clostridiales_u;6__Clostridiales_u_u;7__Clostridiales_u_u_u
17	27	42	25	1314	2	4	10	0	1	11	2	702	2	8	14	174	22	38	2	21	7	1	16	66	643	38	13	10	5	9	10	30	17	1	0	5	25	0	13	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Actinomycetales;5__Actinomycetaceae;6__Actinomyces;7__Actinomyces_u
