#Taxonomy
#OTU ID	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S02	S03	S04	S05	S06	S07	S09	S10	S11	S13	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10	taxonomy
0	0	0	7	0	0	0	0	0	0	2	1	0	9283	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Prophage;2__Proteobacteria prophage;3__Gammaproteobacteria prophage;4__Enterobacterales prophage;5__Enterobacteriaceae prophage;6__Klebsiella prophage;7__Klebsiella pneumoniae
1	2350	1	0	7	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	29	0	0	0	0	16	121	29	1	1	0	0	0	0	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Streptococcaceae prophage;6__Streptococcus prophage;7__Streptococcus prophage_u
2	0	0	0	0	0	0	0	0	0	1451	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1__Prophage;2__Proteobacteria prophage;3__Gammaproteobacteria prophage;4__Enterobacterales prophage;5__Enterobacteriaceae prophage;6__Escherichia prophage;7__Escherichia coli
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053	0	0	0	0	0	0	0	0	1	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Lactobacillaceae prophage;6__Lactobacillus prophage;7__Lactobacillus paracasei
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Lactobacillaceae prophage;6__Lactobacillus prophage;7__Lactobacillus rhamnosus
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	0	0	0	0	0	0	0	0	0	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Lactobacillaceae prophage;6__Lactobacillus prophage;7__Lactobacillus prophage_u
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	0	0	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Lactobacillaceae prophage;6__Lactobacillus prophage;7__Lactobacillus casei
7	72	1	0	37	0	11	6	0	0	0	5	0	1	1	0	4	1	1	0	0	0	0	0	340	0	0	1	0	144	16	3	15	43	10	2	8	2	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Streptococcaceae prophage;6__Streptococcus prophage;7__Streptococcus pneumoniae
8	601	1	0	3	0	3	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	3	36	3	4	6	0	1	0	0	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Streptococcaceae prophage;6__Streptococcus prophage;7__Streptococcus mitis
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	376	0	0	1__Prophage;2__Actinobacteria prophage;3__Actinobacteria prophage;4__Corynebacteriales prophage;5__Corynebacteriaceae prophage;6__Corynebacterium prophage;7__Corynebacterium matruchotii
