#Taxonomy
#OTU ID	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10	taxonomy
0	0	14	1	152	0	0	0	0	0	1	17	1	0	0	0	46	320	59414	3053	6	23	403	1	16	574	1	907	0	17	0	1	982	23111	2299	0	4	1	422	85	0	35	1__Viruses;2__II:ssDNA;3__II:ssDNA_n;4__Anelloviridae;5__Anelloviridae_n;6__Alphatorquevirus;7__Torque teno virus
1	0	2	3	181	0	0	0	1	0	8	11	0	0	0	0	145	444	6832	3087	0	4	268	37	9	431	1	528	1	7	0	3	2348	31775	3041	0	2	2	268	38	1	36	1__Viruses;2__II:ssDNA;3__II:ssDNA_n;4__Anelloviridae;5__Anelloviridae_n;6__Anelloviridae_n_u;7__Anelloviridae_n_u_u
2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	55	0	0	1	26598	1	0	0	0	0	0	1	0	0	0	0	0	0	1	20	40	0	1	0	0	0	2901	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Papillomaviridae;5__Papillomaviridae_n;6__Papillomaviridae_n_u;7__Papillomaviridae_n_u_u
3	0	0	7	0	1	0	0	0	0	0	0	0	0	0	8	0	2	0	28737	1	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Papillomaviridae;5__Papillomaviridae_n;6__Papillomaviridae_n_n;7__Human papillomavirus
4	1	0	1	1	0	0	3	0	1	89	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	18	17147	0	317	0	0	0	2	0	0	0	0	0	0	1__Viruses;2__II:ssDNA;3__II:ssDNA_n;4__Circoviridae;5__Circoviridae_n;6__Circoviridae_n_n;7__Porcine stool-associated circular virus 5
5	26	116	37	6	96	32	192	144	16	46	419	105	83	40	532	17	329	848	1041	443	376	535	320	199	413	27	203	237	22	101	52	299	6889	199	29	57	37	34	27	232	403	1__Viruses;2__undetermined Viruses;3__undetermined Viruses;4__undetermined Viruses;5__undetermined Viruses;6__undetermined Viruses;7__undetermined Viruses
6	13	24	6	0	20	10	60	31	10	17	180	16	34	29	172	3	49	2	5	136	195	239	91	72	72	7	43	63	0	14	25	14	4	23	3	19	8	10	5	60	10	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Retroviridae_n;6__Retroviridae_n_n;7__Human endogenous retrovirus K
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Papillomaviridae;5__Papillomaviridae_n;6__Papillomaviridae_n_n;7__Human papillomavirus type 140
8	5	26	5	4	10	11	78	36	2	61	111	17	20	5	113	2	55	2	5	113	82	103	53	37	66	6	39	53	4	12	20	14	5	25	1	13	8	5	1	55	37	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Betaherpesvirinae;6__Cytomegalovirus;7__Cercopithecine herpesvirus 5
9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1217	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__n_n_n_n_n_Human feces pecovirus;3__n_n_n_n_Human feces pecovirus;4__n_n_n_Human feces pecovirus;5__n_n_Human feces pecovirus;6__n_Human feces pecovirus;7__Human feces pecovirus
