#Taxonomy
#OTU ID	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V05	V06	V07	V08	V09	V10	taxonomy
0	19569	25814	6497	29841	1526	2481	3559	151	918	20427	3878	19334	1982	5480	12056	51678	4205	3278	1707	4184	10454	2544	881	8354	7433	3843	4019	3613	2658	4068	647	9967	5234	475	172	2866	22841	1169	3579	1__Bacteria;2__undetermined Bacteria;3__undetermined Bacteria;4__undetermined Bacteria;5__undetermined Bacteria;6__undetermined Bacteria;7__undetermined Bacteria
1	1899	3673	2575	1505	1194	1672	1898	371	77	8416	980	4203	265	551	4686	39159	1899	1340	855	1400	5811	627	5674	3097	578	1425	1237	158	138	4834	211	8737	4294	19	44	859	486	104	5635	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Propionibacteriales;5__Propionibacteriaceae;6__Propionibacterium;7__Propionibacterium_u
2	561	1231	443	3052	214	279	395	2	10	1612	171	835	74	114	1096	8234	402	278	200	220	1351	209	81	980	970	355	313	37	93	339	20	1230	408	44	6	103	205	11	500	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Actinobacteria_u;5__Actinobacteria_u_u;6__Actinobacteria_u_u_u;7__Actinobacteria_u_u_u_u
3	835	452	132	195	24	51	71	0	2	14051	33	145	20	39	1106	1041	245	52	90	115	273	68	77	348	494	85	177	12	40	333	7	282	207	10	1	29	31	9	218	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Corynebacteriales;5__Corynebacteriaceae;6__Corynebacterium;7__Corynebacterium_u
4	9	17	5	4589	1	5	13	0	5	14	108	592	5	3	10	75	4	26	0	9	105	48	4	7	579	6	0	5	1	8	2	851	1227	11	26	158	36	7	74	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Pasteurellales;5__Pasteurellaceae;6__Pasteurellaceae_u;7__Pasteurellaceae_u_u
5	216	117	77	1095	12	37	51	6	9	357	17	165	9	13	58	241	151	43	8	249	99	17	114	62	334	74	28	13	17	198	7	150	1496	6	7	55	116	12	108	1__Bacteria;2__Proteobacteria;3__Proteobacteria_u;4__Proteobacteria_u_u;5__Proteobacteria_u_u_u;6__Proteobacteria_u_u_u_u;7__Proteobacteria_u_u_u_u_u
6	978	3270	22	43	1	4	1	5	0	31	3	1	0	0	14	2	10	1	3	12	5	0	111	46	9	1	4	0	0	7	1	6	9	0	0	3	729	0	7	1__Bacteria;2__Bacteroidetes;3__Bacteroidia;4__Bacteroidales;5__Bacteroidaceae;6__Bacteroides;7__Bacteroides_u
7	112	29	41	24	24	54	46	14	8	1596	34	177	17	6	55	191	75	13	6	628	265	13	408	230	78	80	36	3	1	122	18	306	206	0	0	54	6	4	357	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Pseudomonadales;5__Pseudomonadaceae;6__Pseudomonas;7__Pseudomonas_u
8	328	345	38	487	2	17	17	6	0	128	0	21	1	1	34	52	20	12	15	23	88	17	15	93	56	40	26	7	3	16	29	121	16	3	1	19	2423	1	11	1__Bacteria;2__Firmicutes;3__Firmicutes_u;4__Firmicutes_u_u;5__Firmicutes_u_u_u;6__Firmicutes_u_u_u_u;7__Firmicutes_u_u_u_u_u
9	246	307	11	469	7	6	6	4	0	659	5	5	0	3	21	30	7	2	5	8	27	1	32	114	83	8	9	2	2	20	7	47	10	3	0	16	1293	0	13	1__Bacteria;2__Firmicutes;3__Clostridia;4__Clostridiales;5__Clostridiales_u;6__Clostridiales_u_u;7__Clostridiales_u_u_u
10	27	42	25	1314	2	4	10	0	1	11	2	702	2	8	14	174	22	38	2	21	7	1	16	66	643	38	13	10	5	9	10	30	17	1	0	5	25	0	13	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Actinomycetales;5__Actinomycetaceae;6__Actinomyces;7__Actinomyces_u
11	26	47	3	1089	0	0	1	0	0	15	1	7	0	0	1	3	0	1	3	3	0	2	0	3	33	0	0	0	0	3	13	38	1	2	0	37	1668	0	0	1__Bacteria;2__Firmicutes;3__Negativicutes;4__Negativicutes_u;5__Negativicutes_u_u;6__Negativicutes_u_u_u;7__Negativicutes_u_u_u_u
12	585	534	14	571	1	2	4	1	1	16	1	6	0	0	10	7	2	6	0	7	9	4	39	56	188	4	1	4	0	27	1	19	6	2	0	23	658	2	7	1__Bacteria;2__Bacteroidetes;3__Bacteroidia;4__Bacteroidales;5__Bacteroidales_u;6__Bacteroidales_u_u;7__Bacteroidales_u_u_u
13	258	366	3	595	2	6	7	0	1	17	2	20	2	2	16	79	11	5	3	10	75	8	2	36	202	19	3	3	2	4	0	63	157	4	105	13	331	0	16	1__Bacteria;2__Bacteroidetes;3__Bacteroidetes_u;4__Bacteroidetes_u_u;5__Bacteroidetes_u_u_u;6__Bacteroidetes_u_u_u_u;7__Bacteroidetes_u_u_u_u_u
14	40	23	43	72	19	7	3	0	0	942	11	58	4	17	148	186	11	8	6	16	18	9	4	44	15	4	39	0	5	17	0	102	13	3	0	4	5	0	5	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Micrococcales;5__Micrococcales_u;6__Micrococcales_u_u;7__Micrococcales_u_u_u
15	107	258	5	985	0	5	0	0	0	9	2	10	0	2	2	29	6	1	0	2	6	0	8	9	179	4	2	2	4	33	24	89	5	5	1	15	9	0	5	1__Bacteria;2__Firmicutes;3__Negativicutes;4__Veillonellales;5__Veillonellaceae;6__Veillonella;7__Veillonella_u
16	44	54	71	9	14	26	39	0	0	49	12	83	4	10	118	461	102	23	19	47	126	21	3	106	15	32	26	1	4	13	3	103	35	1	2	3	7	4	99	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Propionibacteriales;5__Propionibacteriaceae;6__Propionibacteriaceae_u;7__Propionibacteriaceae_u_u
17	49	23	1	1284	0	0	0	0	0	3	4	0	0	0	0	1	1	1	2	1	0	1	1	1	214	4	0	0	0	18	0	51	10	0	0	8	61	1	3	1__Bacteria;2__Bacteroidetes;3__Bacteroidia;4__Bacteroidales;5__Porphyromonadaceae;6__Porphyromonadaceae_u;7__Porphyromonadaceae_u_u
18	76	27	23	7	5	22	8	1	2	461	15	56	7	1	3	83	101	4	11	99	173	7	94	75	24	27	17	1	2	5	7	58	30	0	0	19	3	0	48	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Corynebacteriales;5__Mycobacteriaceae;6__Mycobacterium;7__Mycobacterium_u
19	8	1	0	1	1	14	5	21	0	1200	1	36	2	0	4	14	1	1	0	11	13	1	44	26	3	3	1	0	0	9	0	8	34	4	0	1	1	1	41	1__Bacteria;2__Firmicutes;3__Bacilli;4__Bacillales;5__Staphylococcaceae;6__Staphylococcus;7__Staphylococcus_u
20	0	9	13	0	0	0	11	1	11	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	24	2	998	7	62	0	255	0	0	0	44	0	27	1	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Vibrionales;5__Vibrionaceae;6__Vibrio;7__Vibrio parahaemolyticus
21	9	6	2	76	0	4	6	12	1	78	0	0	0	0	4	26	1	0	7	15	13	5	45	16	56	8	7	0	1	14	2	871	11	1	0	1	0	0	36	1__Bacteria;2__Firmicutes;3__Bacilli;4__Lactobacillales;5__Streptococcaceae;6__Streptococcus;7__Streptococcus_u
22	2	9	2	845	1	3	5	0	0	49	2	8	0	0	3	5	0	0	0	7	11	14	1	3	216	1	3	2	0	1	2	82	2	8	0	2	7	1	16	1__Bacteria;2__Firmicutes;3__Bacilli;4__Bacillales;5__Bacillales_u;6__Bacillales_u_u;7__Bacillales_u_u_u
23	31	18	2	355	0	0	1	0	0	7	1	0	0	1	1	17	0	16	1	13	7	14	1	15	285	1	3	1	0	37	3	22	3	7	0	5	416	0	6	1__Bacteria;2__Bacteroidetes;3__Bacteroidia;4__Bacteroidales;5__Prevotellaceae;6__Prevotella;7__Prevotella_u
24	7	31	6	12	23	0	24	0	0	4	0	0	0	0	1	38	2	42	70	16	1	13	0	5	52	127	29	294	125	118	24	28	1	0	0	2	2	28	2	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Enterobacteriales;5__Enterobacteriaceae;6__Escherichia;7__Escherichia coli
25	6	3	4	486	6	1	1	0	0	9	5	30	0	0	3	109	0	0	0	11	96	7	4	31	66	1	4	0	0	2	4	137	16	9	0	12	30	0	5	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Micrococcales;5__Micrococcaceae;6__Rothia;7__Rothia mucilaginosa
26	15	4	0	468	0	1	0	2	0	1	0	2	0	1	3	10	0	0	0	2	4	3	0	2	368	2	0	9	0	0	1	57	3	3	0	4	11	0	1	1__Bacteria;2__Bacteroidetes;3__Bacteroidia;4__Bacteroidales;5__Porphyromonadaceae;6__Porphyromonas;7__Porphyromonas_u
27	39	19	13	16	7	7	9	0	0	144	1	77	1	2	85	134	26	4	25	23	24	25	3	58	65	12	23	1	3	23	0	40	26	1	0	0	2	0	17	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Corynebacteriales;5__Corynebacteriales_u;6__Corynebacteriales_u_u;7__Corynebacteriales_u_u_u
28	10	39	10	127	1	12	10	2	0	64	5	50	2	0	7	96	8	8	3	39	40	39	64	10	98	8	24	4	2	5	2	35	27	8	2	18	13	3	19	1__Bacteria;2__Proteobacteria;3__Gammaproteobacteria;4__Gammaproteobacteria_u;5__Gammaproteobacteria_u_u;6__Gammaproteobacteria_u_u_u;7__Gammaproteobacteria_u_u_u_u
29	38	36	8	11	2	10	12	1	1	71	4	57	0	10	33	261	1	0	2	24	45	18	28	66	0	10	65	0	1	5	1	36	6	0	0	6	17	0	14	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Corynebacteriales;5__Corynebacteriales_n;6__Lawsonella;7__Lawsonella clevelandensis
30	18	25	1	87	1	0	1	0	0	1	3	6	0	1	3	2	2	0	4	2	7	0	0	5	10	0	1	0	0	5	0	13	3	3	0	2	665	0	0	1__Bacteria;2__Firmicutes;3__Clostridia;4__Clostridiales;5__Ruminococcaceae;6__Ruminococcaceae_u;7__Ruminococcaceae_u_u
31	4	0	0	0	0	0	0	0	0	807	0	7	0	0	1	1	0	2	0	1	0	0	0	0	1	1	2	1	0	0	0	3	5	0	0	3	0	0	0	1__Bacteria;2__Actinobacteria;3__Actinobacteria;4__Corynebacteriales;5__Corynebacteriaceae;6__Corynebacterium;7__Corynebacterium afermentans
32	6	10	11	3	21	0	1	0	0	5	0	0	0	1	9	680	5	0	1	0	4	0	0	6	2	2	1	0	0	2	0	2	2	0	0	0	1	0	0	1__Bacteria;2__Deinococcus-Thermus;3__Deinococci;4__Deinococcales;5__Deinococcaceae;6__Deinococcus;7__Deinococcus_u
33	23	14	20	23	2	15	30	0	0	40	4	13	5	2	18	75	142	10	1	35	32	5	4	45	10	4	5	2	0	8	0	11	31	0	1	5	113	1	12	1__Bacteria;2__Proteobacteria;3__Betaproteobacteria;4__Betaproteobacteria_u;5__Betaproteobacteria_u_u;6__Betaproteobacteria_u_u_u;7__Betaproteobacteria_u_u_u_u
34	29	42	3	57	0	0	0	0	0	6	0	5	0	0	9	14	2	0	5	1	0	0	2	17	6	0	2	0	0	1	1	13	2	0	0	8	513	0	1	1__Bacteria;2__Firmicutes;3__Clostridia;4__Clostridia_u;5__Clostridia_u_u;6__Clostridia_u_u_u;7__Clostridia_u_u_u_u
