#Taxonomy
#OTU ID	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V05	V06	V07	V08	V09	V10	taxonomy
0	244	386	114	10048	26	63	61	3	3	251	264	419	16	32	316	862	250	66	82	174	155	70	9	814	3310	75	198	28	57	118	37	1854	195	70	6	352	230	8	96	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Streptococcaceae prophage;6__Streptococcus prophage;7__Streptococcus pneumoniae
1	56	61	30	2298	1	16	16	1	0	37	42	90	0	3	45	202	33	16	11	53	54	23	0	244	812	22	29	6	11	54	28	551	49	22	1	161	79	0	20	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Streptococcaceae prophage;6__Streptococcaceae prophage_u;7__Streptococcaceae prophage_u_u
2	149	162	17	238	1	4	5	0	0	97	4	5	1	1	23	45	3	21	4	3	144	79	0	55	52	7	2	6	0	27	2	35	9	0	2	10	1377	1	13	1__Prophage;2__Firmicutes prophage;3__Clostridia prophage;4__Clostridiales prophage;5__Peptostreptococcaceae prophage;6__Clostridioides prophage;7__Clostridioides difficile
3	102	92	87	122	14	70	47	0	0	127	4	90	4	8	248	165	276	31	22	38	148	12	1	234	23	31	15	7	9	58	6	65	77	2	2	64	114	0	17	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Bacillales prophage;5__Staphylococcaceae prophage;6__Staphylococcus prophage;7__Staphylococcus aureus
4	83	65	24	805	0	12	9	0	0	70	7	19	1	8	20	85	13	19	6	9	26	6	1	88	92	6	12	3	1	13	5	47	20	2	1	29	424	2	4	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Bacilli prophage_u;5__Bacilli prophage_u_u;6__Bacilli prophage_u_u_u;7__Bacilli prophage_u_u_u_u
5	31	20	14	1021	7	5	4	0	1	19	19	18	1	0	15	20	14	27	4	4	19	8	0	62	148	19	15	3	2	17	16	203	35	5	0	162	56	1	5	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Lactobacillales prophage;5__Lactobacillales prophage_u;6__Lactobacillales prophage_u_u;7__Lactobacillales prophage_u_u_u
6	39	77	46	123	8	58	29	0	0	36	4	39	3	4	172	213	106	15	16	24	52	4	0	86	52	10	6	2	4	28	5	296	38	3	0	10	119	0	13	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Bacillales prophage;5__Bacillales prophage_u;6__Bacillales prophage_u_u;7__Bacillales prophage_u_u_u
7	77	121	3	111	0	2	2	0	0	43	2	8	1	0	6	18	3	4	2	5	17	5	0	24	33	2	1	0	0	13	1	22	5	4	2	5	841	0	3	1__Prophage;2__Firmicutes prophage;3__Firmicutes prophage_u;4__Firmicutes prophage_u_u;5__Firmicutes prophage_u_u_u;6__Firmicutes prophage_u_u_u_u;7__Firmicutes prophage_u_u_u_u_u
8	75	56	23	72	0	13	23	0	0	26	61	51	15	4	52	215	57	29	18	30	78	72	4	89	27	4	75	4	3	17	1	36	31	1	2	2	49	0	40	1__Prophage;2__Proteobacteria prophage;3__Gammaproteobacteria prophage;4__Pseudomonadales prophage;5__Pseudomonadaceae prophage;6__Pseudomonas prophage;7__Pseudomonas syringae group genomosp. 3
9	21	23	5	73	2	1	1	0	0	39	1	4	1	4	8	21	2	8	0	0	7	1	0	11	13	1	2	2	0	3	0	2	99	3	0	0	579	0	0	1__Prophage;2__Firmicutes prophage;3__Bacilli prophage;4__Bacillales prophage;5__Bacillaceae prophage;6__Bacillus prophage;7__Bacillus thuringiensis
