#Taxonomy
#OTU ID	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10	taxonomy
0	3	0	3	3	2	1	28	0	179	3	0	4	0	0	0	1	0	6	0	2	0	6	0	0	2	6	10	93	7	225	0	52	1	113	2	92	2	1__Viruses;2__V:(-)ssRNA;3__V:(-)ssRNA_n;4__Arenaviridae;5__Arenaviridae_n;6__Mammarenavirus;7__Lassa mammarenavirus
1	49	282	3	23	1	2	9	0	0	22	5	11	0	1	7	18	4	2	4	1	10	6	6	6	12	1	3	2	0	4	1	6	5	0	60	1	12	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Betaherpesvirinae;6__Cytomegalovirus;7__Cercopithecine herpesvirus 5
2	47	36	10	56	2	4	7	1	0	54	13	38	0	4	21	17	6	2	1	11	12	11	23	6	11	3	12	0	0	25	1	12	17	3	48	0	13	1__Viruses;2__undetermined Viruses;3__undetermined Viruses;4__undetermined Viruses;5__undetermined Viruses;6__undetermined Viruses;7__undetermined Viruses
3	1	4	7	0	0	0	5	0	22	1	0	2	1	0	0	2	2	11	0	5	0	3	0	0	4	43	84	22	44	91	2	2	0	48	0	15	2	1__Viruses;2__III:dsRNA;3__III:dsRNA_n;4__Partitiviridae;5__Partitiviridae_n;6__Partitiviridae_n_n;7__Pittosporum cryptic virus-1
4	6	0	1	0	2	0	22	0	0	7	0	8	0	0	2	2	3	20	0	4	4	2	0	0	7	3	1	2	3	1	20	0	1	0	0	4	3	1__Viruses;2__V:(-)ssRNA;3__V:(-)ssRNA_n;4__Bunyaviridae;5__Bunyaviridae_n;6__Orthobunyavirus;7__Bunyamwera virus
5	3	3	0	3	0	3	0	4	2	9	6	7	0	2	5	2	0	0	1	1	2	4	12	0	1	1	4	0	0	7	0	3	3	3	1	0	20	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Retroviridae_n;6__Retroviridae_n_n;7__Human endogenous retrovirus H
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Alphaherpesvirinae;6__Mardivirus;7__Mardivirus_u
7	0	1	0	0	0	0	0	0	2	9	0	0	0	0	3	1	0	0	3	2	2	0	2	1	0	1	0	0	0	2	0	0	1	0	2	0	2	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Retroviridae_n;6__Retroviridae_n_n;7__Human endogenous retrovirus K
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Alphaherpesvirinae;6__Simplexvirus;7__Saimiriine herpesvirus 1
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Hepadnaviridae;5__Hepadnaviridae_n;6__Orthohepadnavirus;7__Hepatitis B virus
10	3	1	3	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	1__Viruses;2__I:dsDNA;3__I:dsDNA_u;4__I:dsDNA_u_u;5__I:dsDNA_u_u_u;6__I:dsDNA_u_u_u_u;7__I:dsDNA_u_u_u_u_u
11	1	0	0	0	0	0	0	0	1	8	2	0	0	0	0	0	0	0	3	1	1	0	4	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1__Viruses;2__V:(-)ssRNA;3__V:(-)ssRNA_n;4__Orthomyxoviridae;5__Orthomyxoviridae_n;6__Influenzavirus A;7__Influenza A virus
12	1	0	0	1	0	0	0	0	1	4	2	1	0	0	0	0	0	0	2	0	5	1	1	1	0	0	0	0	0	0	0	1	2	0	0	0	2	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Retroviridae_n;6__Retroviridae_n_n;7__Human endogenous retrovirus
13	0	0	1	0	0	0	7	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	1	3	1__Viruses;2__IV:(+)ssRNA;3__Nidovirales;4__Coronaviridae;5__Coronavirinae;6__Gammacoronavirus;7__Avian coronavirus
14	0	0	0	0	0	0	0	1	0	7	2	0	0	0	0	0	0	0	0	0	7	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Papillomaviridae;5__Papillomaviridae_n;6__Alphapapillomavirus;7__Alphapapillomavirus 9
15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Herpesviridae_u;6__Herpesviridae_u_u;7__Herpesviridae_u_u_u
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Mimiviridae;5__Mimiviridae_n;6__Mimiviridae_n_n;7__Mimivirus terra2
17	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	0	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Baculoviridae;5__Baculoviridae_n;6__Betabaculovirus;7__Choristoneura occidentalis granulovirus
18	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1__Viruses;2__V:(-)ssRNA;3__V:(-)ssRNA_n;4__Arenaviridae;5__Arenaviridae_n;6__Mammarenavirus;7__Luna mammarenavirus
19	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	5	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1__Viruses;2__IV:(+)ssRNA;3__IV:(+)ssRNA_n;4__Closteroviridae;5__Closteroviridae_n;6__Ampelovirus;7__Grapevine leafroll-associated virus 1
20	1	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Marseilleviridae;5__Marseilleviridae_n;6__Marseilleviridae_n_n;7__Tokyovirus A1
21	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Retroviridae_n;6__Retroviridae_n_n;7__Retroviridae_n_n_u
22	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Orthoretrovirinae;6__Lentivirus;7__Human immunodeficiency virus 2
23	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Retroviridae_u;6__Retroviridae_u_u;7__Retroviridae_u_u_u
24	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1__Viruses;2__V:(-)ssRNA;3__Mononegavirales;4__Mononegavirales_n;5__Pneumoviridae;6__Orthopneumovirus;7__Human respiratory syncytial virus
25	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__I:dsDNA_n_u;5__I:dsDNA_n_u_u;6__I:dsDNA_n_u_u_u;7__I:dsDNA_n_u_u_u_u
26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Phycodnaviridae;5__Phycodnaviridae_n;6__Coccolithovirus;7__Coccolithovirus_u
27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Gammaherpesvirinae;6__Lymphocryptovirus;7__Human herpesvirus 4
28	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Alphaherpesvirinae;6__Mardivirus;7__Gallid herpesvirus 2
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1__Viruses;2__V:(-)ssRNA;3__V:(-)ssRNA_n;4__Bunyaviridae;5__Bunyaviridae_n;6__Orthobunyavirus;7__Tete virus
30	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Poxviridae;5__Chordopoxvirinae;6__Chordopoxvirinae_u;7__Chordopoxvirinae_u_u
31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Alphaherpesvirinae;6__Scutavirus;7__Testudinid herpesvirus 3
32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__III:dsRNA;3__III:dsRNA_n;4__Totiviridae;5__Totiviridae_n;6__Totiviridae_n_u;7__Totiviridae_n_u_u
33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesvirales_u;5__Herpesvirales_u_u;6__Herpesvirales_u_u_u;7__Herpesvirales_u_u_u_u
34	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1__Viruses;2__III:dsRNA;3__III:dsRNA_n;4__Totiviridae;5__Totiviridae_n;6__Totivirus;7__Scheffersomyces segobiensis virus L
35	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Papillomaviridae;5__Papillomaviridae_n;6__Betapapillomavirus;7__Betapapillomavirus 2
36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Alphaherpesvirinae;6__Varicellovirus;7__Suid herpesvirus 1
37	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__I:dsDNA_n;4__Poxviridae;5__Chordopoxvirinae;6__Orthopoxvirus;7__Cowpox virus
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1__Viruses;2__VI-VII:RT;3__VI-VII:RT_n;4__Retroviridae;5__Orthoretrovirinae;6__Deltaretrovirus;7__Primate T-lymphotropic virus 1
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1__Viruses;2__IV:(+)ssRNA;3__Picornavirales;4__Iflaviridae;5__Iflaviridae_n;6__Iflavirus;7__Deformed wing virus
40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__IV:(+)ssRNA;3__Picornavirales;4__Picornaviridae;5__Picornaviridae_n;6__Enterovirus;7__Enterovirus B
41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1__Viruses;2__I:dsDNA;3__Herpesvirales;4__Herpesviridae;5__Betaherpesvirinae;6__Roseolovirus;7__Human herpesvirus 6B
