Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;Fusobacterium_u	41	58	235	439	1997	1747	101	2514	500	2660	4234	799	462	1036	164	721	926	1926	6470	89	453	7198	15	362	67	4456	1379	23	4419	111	2094	378	250	1499	6801	375	3574	2	533	3549	91
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;Streptococcus_u	3188	2531	195	453	1022	4572	3649	345	1509	1741	2059	3369	999	58	1566	75	1219	2391	17	260	420	164	324	2309	4968	233	92	201	19	22	64	2427	726	911	185	531	965	5334	875	5	60
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae	72	293	35	67	54	12156	202	56	856	391	3765	988	1068	2397	1366	106	20	2	0	0	168	30	53	0	543	1	23	183	3	3	71	2	677	4872	760	218	96	1057	5497	5	304
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_u	6	14	616	501	715	212	10	32	61	253	673	19	54	30	6	9	455	28	5515	283	93	1869	3	396	45	2769	1088	31	4841	22	374	1580	40	511	716	285	260	156	97	472	1159
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella melaninogenica	0	8	42	98	160	28	336	455	1076	139	5644	145	222	653	27	75	347	0	1868	1730	7	490	3	217	44	0	67	0	152	0	472	2254	2	0	308	133	2	554	1635	504	625
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;Leptotrichia_u	13	21	151	73	890	99	208	991	109	1140	2334	106	230	248	27	28	458	3024	36	0	1	97	0	66	67	215	14	11	4	39	75	1	5	71	2869	125	1609	1007	467	1196	2838
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar	5	3	1326	2181	141	133	296	80	157	75	1738	326	610	29	138	59	616	2	2	818	6	6	61	188	81	937	200	197	326	212	151	2473	7	459	74	188	54	1213	930	25	1099
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantis	121	54	41	81	140	2214	2303	549	2155	160	1445	396	369	413	635	34	638	132	1	0	43	27	129	84	526	11	1	1	1	0	39	1	1121	306	601	112	230	21	873	130	56
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella tannerae	11	5	12	1	152	21	4	5	3	44	1	1	2	27	0	23	444	2	9730	232	6	2	7	510	58	0	484	2	2735	2	853	0	0	321	0	100	1	0	2	325	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;Porphyromonas_u	41	8	15	15	107	9	31	858	307	499	1049	545	180	8	172	82	41	93	0	2012	39	7	87	27	76	24	0	0	3847	2	3	0	25	1963	1487	36	515	801	455	111	3
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;Capnocytophaga_u	14	5	7	15	162	0	3	9	25	557	12	16	65	256	3	7	98	3217	0	78	60	222	27	0	2	92	4	4	7	3	14	3	256	360	3619	15	2383	8	9	1	4
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;Campylobacter_u	3	7	106	73	146	865	145	126	29	196	514	32	97	329	16	6	91	1207	8	530	117	552	0	16	20	853	199	0	106	33	103	2	16	140	2176	70	1543	410	72	417	979
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;Actinomyces_u	0	6	1374	2011	741	307	19	426	5	206	530	36	206	9	19	7	264	0	3	0	0	6	20	15	5	190	44	302	138	152	310	90	0	8	5	106	39	48	276	0	4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa	1	0	0	2	3	349	11	41	111	51	175	693	270	328	2614	0	126	0	0	0	1	1	0	188	1186	0	1	0	0	0	11	211	80	4	67	6	3	191	823	1	15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;Dialister_u	0	6	34	6	150	31	0	4	7	8	9	1	5	1	5	3	82	0	1073	136	7	287	0	21	7	1419	583	8	1182	2	299	67	0	69	0	26	22	0	0	53	18
