Group	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Dipodascaceae|Yarrowia|Yarrowia lipolytica	1	0	0	1	1	1	8021	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1697	1393	83	2	0	0	1	1	0	1	1	1	0
Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Candida|Candida orthopsilosis	0	10	1	0	0	0	16	0	0	2	0	4	0	3	1	0	0	0	7	75	0	2	1	0	0	24	47	4102	4	225	5	266	0	4	0	0	0	0
Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae|Malassezia|Malassezia globosa	0	5	2	0	44	1	86	48	1	0	0	15	8	0	73	0	0	0	2	3	0	11	48	0	0	17	0	4	0	1	0	0	0	2	0	0	0	539
Eukaryota|Ascomycota|Ascomycota_u|Ascomycota_u_u|Ascomycota_u_u_u|Ascomycota_u_u_u_u|Ascomycota_u_u_u_u_u	0	1	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0
Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria	44	255	414	36004	734	2050	102	71	2193	230	176	19862	213	580	494	163	340	554	4938	5575	811	731	6073	13733	300	90	159	127	99	159	154	61	588	2510	241	73	89	576
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia|Akkermansia muciniphila	0	1	0	0	1	2	1	4	87937	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	219	0	0	0	0	0	0	2	6	1	6	4	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_u	1	37	5	4	2064	10013	2283	501	5456	566	18301	8181	4835	1042	2	3	3	41	5996	2024	122	193	10993	1	1	2	0	3	3	3	2	3	4	180	130	53	1081	2477
Bacteria|Actinobacteria|Actinobacteria|Actinobacteria_u|Actinobacteria_u_u|Actinobacteria_u_u_u|Actinobacteria_u_u_u_u	0	3	1	0	89	199	75	63312	116	5	14	28	11	15	9	3	4	8	292	454	9	119	3026	3	14	2	19	7	3	3	0	152	167	144	139	255	197	13
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella salivae	0	1	7	28	0	0	2	0	0	19	0	0	0	0	0	0	33474	0	1	3	0	0	0	183	2	0	0	0	85	0	0	0	4	0	14720	3	1	6
