Group	# Constructed from biom file	CTRL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C03	L02	L05	L06	L07	L09	L10	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	V01	V02	V03	V04	V06	V07	V08	V09	V10
Viruses|II:ssDNA|II:ssDNA_n|Anelloviridae|Anelloviridae_n|Alphatorquevirus|Torque teno virus	0	1	0	1	17	1	0	0	320	59414	3053	6	23	403	1	16	574	1	907	0	17	982	23111	2299	0	1	422	85	0	35
Viruses|II:ssDNA|II:ssDNA_n|Anelloviridae|Anelloviridae_n|Anelloviridae_n_u|Anelloviridae_n_u_u	0	3	0	8	11	0	0	0	444	6832	3087	0	4	268	37	9	431	1	528	1	7	2348	31775	3041	0	2	268	38	1	36
Viruses|I:dsDNA|I:dsDNA_n|Papillomaviridae|Papillomaviridae_n|Papillomaviridae_n_u|Papillomaviridae_n_u_u	0	8	0	0	0	0	0	55	0	1	26598	1	0	0	0	0	0	1	0	0	0	0	1	20	40	1	0	0	0	2901
Viruses|I:dsDNA|I:dsDNA_n|Papillomaviridae|Papillomaviridae_n|Papillomaviridae_n_n|Human papillomavirus	0	7	0	0	0	0	0	8	2	0	28737	1	2	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	2
Viruses|II:ssDNA|II:ssDNA_n|Circoviridae|Circoviridae_n|Circoviridae_n_n|Porcine stool-associated circular virus 5	1	1	3	89	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	17147	0	0	0	2	0	0	0	0	0
Viruses|undetermined Viruses|undetermined Viruses|undetermined Viruses|undetermined Viruses|undetermined Viruses|undetermined Viruses	26	37	192	46	419	105	40	532	329	848	1041	443	376	535	320	199	413	27	203	237	22	299	6889	199	29	37	34	27	232	403
Viruses|VI-VII:RT|VI-VII:RT_n|Retroviridae|Retroviridae_n|Retroviridae_n_n|Human endogenous retrovirus K	13	6	60	17	180	16	29	172	49	2	5	136	195	239	91	72	72	7	43	63	0	14	4	23	3	8	10	5	60	10
Viruses|I:dsDNA|Herpesvirales|Herpesviridae|Betaherpesvirinae|Cytomegalovirus|Cercopithecine herpesvirus 5	5	5	78	61	111	17	5	113	55	2	5	113	82	103	53	37	66	6	39	53	4	14	5	25	1	8	5	1	55	37
Viruses|II:ssDNA|II:ssDNA_n|Anelloviridae|Anelloviridae_n|Anelloviridae_n_n|Anelloviridae_n_n_u	0	0	0	0	2	0	0	0	12	5	80	0	2	33	0	0	53	1	486	0	1	9	12	322	0	0	26	22	0	11
Viruses|II:ssDNA|II:ssDNA_n|Anelloviridae|Anelloviridae_n|Anelloviridae_n_n|Torque teno midi virus	0	0	0	0	0	0	0	0	132	180	0	0	21	180	22	3	69	0	399	0	0	5	0	20	0	0	3	7	0	37
