Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10
Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae|Malassezia|Malassezia globosa	92	136	44	48	7	47	44	12	378	55	127	18	75	221	894	75	12	33	97	523	29	43	354	46	31	64	12	8	42	2	253	54	15	46	3	92
Eukaryota|Basidiomycota|Basidiomycota_u|Basidiomycota_u_u|Basidiomycota_u_u_u|Basidiomycota_u_u_u_u|Basidiomycota_u_u_u_u_u	49	56	39	7	2	9	36	0	30	15	31	3	20	135	391	30	31	40	34	125	38	1	152	19	28	23	9	8	61	16	79	18	14	5	3	21
Eukaryota|Ascomycota|Ascomycota_u|Ascomycota_u_u|Ascomycota_u_u_u|Ascomycota_u_u_u_u|Ascomycota_u_u_u_u_u	6	0	18	1	0	1	3	0	1	0	13	0	0	8	11	7	4	0	5	7	2	0	2	9	38	8	120	33	17	1	9	4	11	0	9	0
Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Candida|Candida orthopsilosis	4	0	2	0	0	3	3	58	50	1	23	0	2	3	8	3	0	0	3	51	1	39	7	1	0	1	0	0	1	0	7	2	1	0	0	8
Eukaryota|undetermined Eukaryota|undetermined Eukaryota|undetermined Eukaryota|undetermined Eukaryota|undetermined Eukaryota|undetermined Eukaryota	9	14	5	4	2	0	5	0	5	2	1	0	1	29	34	2	1	1	3	18	4	0	9	2	6	12	22	3	5	3	15	3	1	0	4	5
Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Dipodascaceae|Yarrowia|Yarrowia lipolytica	4	0	0	0	0	1	1	11	49	4	0	0	0	1	59	0	1	0	5	0	0	20	21	2	3	2	7	0	0	0	11	1	0	0	2	1
Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Onygenales_n|Coccidioides|Coccidioides immitis	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	5	6	4	14	2	0	0	1	2	0	13	0
Eukaryota|Ascomycota|Schizosaccharomycetes|Schizosaccharomycetales|Schizosaccharomycetaceae|Schizosaccharomyces|Schizosaccharomyces octosporus	2	0	0	1	0	0	3	0	0	0	2	0	0	5	0	0	0	0	0	3	0	0	0	0	2	1	13	1	7	0	0	0	0	0	0	0
Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Metschnikowiaceae|Clavispora|Clavispora lusitaniae	0	1	1	1	0	0	5	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	2	6	1	0	1	0	2	0	4	1
Eukaryota|Ascomycota|Pneumocystidomycetes|Pneumocystidales|Pneumocystidaceae|Pneumocystis|Pneumocystis murina	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	2	3	8	0	3	1	3	0	0	0	0	0
Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Penicillium|Penicillium_u	4	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria|undetermined Bacteria	19569	25814	6497	29841	1526	2481	3559	151	20427	3878	19334	1982	5480	12056	51678	4205	3278	1707	4184	10454	2544	881	8354	7433	3843	4019	3613	2658	4068	647	9967	5234	2866	22841	1169	3579
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium_u	1899	3673	2575	1505	1194	1672	1898	371	8416	980	4203	265	551	4686	39159	1899	1340	855	1400	5811	627	5674	3097	578	1425	1237	158	138	4834	211	8737	4294	859	486	104	5635
Bacteria|Actinobacteria|Actinobacteria|Actinobacteria_u|Actinobacteria_u_u|Actinobacteria_u_u_u|Actinobacteria_u_u_u_u	561	1231	443	3052	214	279	395	2	1612	171	835	74	114	1096	8234	402	278	200	220	1351	209	81	980	970	355	313	37	93	339	20	1230	408	103	205	11	500
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium_u	835	452	132	195	24	51	71	0	14051	33	145	20	39	1106	1041	245	52	90	115	273	68	77	348	494	85	177	12	40	333	7	282	207	29	31	9	218
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Pasteurellaceae_u|Pasteurellaceae_u_u	9	17	5	4589	1	5	13	0	14	108	592	5	3	10	75	4	26	0	9	105	48	4	7	579	6	0	5	1	8	2	851	1227	158	36	7	74
Bacteria|Proteobacteria|Proteobacteria_u|Proteobacteria_u_u|Proteobacteria_u_u_u|Proteobacteria_u_u_u_u|Proteobacteria_u_u_u_u_u	216	117	77	1095	12	37	51	6	357	17	165	9	13	58	241	151	43	8	249	99	17	114	62	334	74	28	13	17	198	7	150	1496	55	116	12	108
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_u	978	3270	22	43	1	4	1	5	31	3	1	0	0	14	2	10	1	3	12	5	0	111	46	9	1	4	0	0	7	1	6	9	3	729	0	7
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_u	112	29	41	24	24	54	46	14	1596	34	177	17	6	55	191	75	13	6	628	265	13	408	230	78	80	36	3	1	122	18	306	206	54	6	4	357
Bacteria|Firmicutes|Firmicutes_u|Firmicutes_u_u|Firmicutes_u_u_u|Firmicutes_u_u_u_u|Firmicutes_u_u_u_u_u	328	345	38	487	2	17	17	6	128	0	21	1	1	34	52	20	12	15	23	88	17	15	93	56	40	26	7	3	16	29	121	16	19	2423	1	11
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_u|Clostridiales_u_u|Clostridiales_u_u_u	246	307	11	469	7	6	6	4	659	5	5	0	3	21	30	7	2	5	8	27	1	32	114	83	8	9	2	2	20	7	47	10	16	1293	0	13
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces_u	27	42	25	1314	2	4	10	0	11	2	702	2	8	14	174	22	38	2	21	7	1	16	66	643	38	13	10	5	9	10	30	17	5	25	0	13
Bacteria|Firmicutes|Negativicutes|Negativicutes_u|Negativicutes_u_u|Negativicutes_u_u_u|Negativicutes_u_u_u_u	26	47	3	1089	0	0	1	0	15	1	7	0	0	1	3	0	1	3	3	0	2	0	3	33	0	0	0	0	3	13	38	1	37	1668	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales_u|Bacteroidales_u_u|Bacteroidales_u_u_u	585	534	14	571	1	2	4	1	16	1	6	0	0	10	7	2	6	0	7	9	4	39	56	188	4	1	4	0	27	1	19	6	23	658	2	7
Bacteria|Bacteroidetes|Bacteroidetes_u|Bacteroidetes_u_u|Bacteroidetes_u_u_u|Bacteroidetes_u_u_u_u|Bacteroidetes_u_u_u_u_u	258	366	3	595	2	6	7	0	17	2	20	2	2	16	79	11	5	3	10	75	8	2	36	202	19	3	3	2	4	0	63	157	13	331	0	16
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcales_u|Micrococcales_u_u|Micrococcales_u_u_u	40	23	43	72	19	7	3	0	942	11	58	4	17	148	186	11	8	6	16	18	9	4	44	15	4	39	0	5	17	0	102	13	4	5	0	5
